total_int,total_rew
1,-29.80491693454346
2,-27.968419109510982
0,-32.22608714234871
0,-27.56875055691291
1,-22.723418961452115
1,-18.76059391974963
0,-21.178236405724682
1,-34.15158786097597
1,-21.82568059075768
0,-26.62366182909341
0,-20.11137776184725
0,-61.53188328695733
2,-15.1426701978172
1,-24.448596559059638
0,-56.01288110523399
1,-42.105186189372084
0,-23.647572289049425
3,-57.78783077677026
1,-30.975574174395543
1,-22.484497536197843
0,-19.880378086952863
1,-23.479535281663896
1,-22.439446612020042
1,-30.77606706869215
0,-12.20653232474831
1,-17.087786386826494
0,-42.51040448388349
0,-17.96638948257668
0,-31.709958697221925
0,-24.48111118058625
0,-18.296234893337576
2,-25.640970926583094
0,-22.321694943639528
1,-69.77103364800516
1,-25.746156743076625
2,-16.16383030554236
2,-29.932948236826775
1,-18.45803452553776
2,-39.75499044381719
0,-21.195551967963045
4,-54.71722640024128
0,-25.220733118068743
1,-22.68524460551673
1,-19.655634599563086
3,-17.84537646494787
1,-20.440935017466842
2,-22.749352695204323
3,-25.38899890741915
0,-25.370944427603092
0,-15.000565350327465
0,-30.755675668042752
1,-20.31099303787245
1,-17.12003750843214
3,-64.79153032387896
0,-33.88713704625396
1,-26.160664180754225
1,-30.918162365064283
1,-30.195891064946334
0,-26.808347692329836
1,-20.407978321060963
0,-22.228916772356254
1,-31.10638018174432
1,-41.33509888735878
0,-18.985330786448692
3,-34.25100031458524
0,-30.59192515733207
1,-32.868019426764604
6,-36.733204844432734
2,-24.99711825340925
0,-21.10010001226437
2,-23.965285031784987
0,-12.977827625562572
1,-26.589481174496715
1,-26.328937468788745
0,-46.003730662954005
0,-30.48663787517226
1,-32.128209975388515
0,-23.711195916681728
3,-34.3607569511953
3,-31.161570025963876
0,-17.11973710300901
0,-28.838709174881124
0,-29.14979566659319
0,-41.216937802649014
0,-23.50012336198559
0,-24.244597536889106
1,-34.26069829704156
0,-20.588328125567827
3,-31.85868954001115
0,-20.762924337308984
3,-29.652603051350575
0,-39.95313787658918
0,-24.14443307393172
1,-42.95137936382233
0,-35.35819109003372
0,-21.25808332533529
0,-19.337021957170375
0,-50.18648790128902
1,-9.93968996400174
1,-28.274841648775247
0,-23.823010902525706
0,-17.20505388640647
0,-63.37521120134405
1,-35.52888033886158
1,-39.28972537502915
3,-19.274476032907245
0,-58.47475976480326
1,-26.75521508674422
0,-24.618830144973522
0,-13.381558890433542
3,-19.531695729268552
0,-15.186258416596324
0,-24.268125715461583
0,-27.711566986008187
0,-25.34990822054723
0,-35.55527483053718
2,-58.84420149940637
0,-27.645697540483518
1,-43.50035721551201
1,-81.500512436758
3,-20.102580764282838
1,-34.19855387646033
1,-30.991319769517567
1,-11.39298547546392
2,-16.646758770086993
2,-38.88974665950252
1,-21.171696999045775
1,-22.80500746755709
2,-17.028566540388688
1,-29.5360530950724
1,-31.30549604259367
0,-25.573995494354772
3,-27.946881862069436
2,-21.507403172369916
1,-27.03971289577
0,-12.135769174810704
1,-30.923044237428844
0,-13.505467155766711
0,-10.889722412669432
3,-22.322705152559088
0,-30.872302023590734
0,-24.53087176517561
1,-33.90274747139066
2,-17.45254262603592
0,-24.693865769109163
1,-42.79332599890123
4,-19.10703788350005
1,-30.4579699359278
0,-15.084199012174233
2,-34.01908954446017
2,-19.717850767354843
0,-15.856840643207299
2,-26.31333404647139
2,-17.867044334264282
1,-44.912188551602824
0,-65.52084024383167
1,-44.895696276897795
0,-23.260121621706002
1,-11.080086383904467
0,-37.48745113730793
1,-41.53929487583871
0,-26.550034124886032
0,-30.708477051669277
0,-51.89614447248968
3,-31.333205503218984
0,-22.858375607900218
1,-14.766187668114057
0,-31.439846729307174
0,-37.917418010578814
1,-28.348265405288508
1,-45.95039797200038
0,-11.150237453513315
2,-15.72495704733008
1,-21.196431874471692
0,-41.317735232214694
0,-32.81078794508224
1,-79.1155698429351
2,-23.522674699427146
2,-47.39065628647107
1,-28.43139177112664
1,-26.672937268305375
0,-26.977931294066156
1,-28.063098144298294
0,-19.64722505904479
1,-18.227725555182687
2,-22.026706006607956
0,-12.786693073147768
0,-33.27598067850183
0,-30.34570725676869
1,-21.210837491091826
4,-43.59530056942199
2,-20.66592549740769
0,-23.208536971459015
2,-17.4218653557413
1,-40.997255827000124
0,-45.797971456630165
0,-16.295423894089325
1,-34.244625904842934
1,-13.558583583602191
0,-53.03191834076846
1,-25.390324619859328
1,-25.919633488885403
0,-28.684730962465707
1,-30.58806225036973
1,-15.514365946498536
2,-19.687304759685478
0,-40.47585015649165
0,-30.965898866010413
0,-14.587056922528447
0,-33.28651897744386
1,-21.045328433255236
0,-35.05246415355646
0,-8.595823118651428
0,-44.85949856449165
4,-28.917663239471615
0,-21.378711231914373
3,-38.67149547243245
0,-31.779693186569602
0,-47.98725722630005
0,-27.975723288572553
2,-18.625131797144274
0,-23.013813443680245
0,-40.227507982188136
1,-17.126572983380502
0,-38.12838923995296
3,-32.90587897464702
1,-22.958141625259334
1,-19.477382460068927
0,-19.51440221310697
2,-16.914802897024458
0,-20.833305258391213
2,-17.98072823917692
0,-34.02316314774156
0,-20.763781194588116
1,-30.141145361677857
0,-26.14649662484289
0,-16.148413770350658
2,-15.682293437971769
3,-30.310052508493133
0,-12.195026779987366
0,-26.01560680337468
1,-18.05599956634008
1,-19.49198051286303
0,-26.62546031294791
0,-86.64612146521533
0,-35.772823306333265
0,-22.524194852603042
0,-25.73811431824933
0,-39.376547344231625
4,-27.041172356294005
1,-14.790291224414565
0,-20.3795072809763
0,-38.73721904355706
0,-25.719037779534357
0,-27.777521097457857
0,-30.913239191115338
0,-40.471714561952
0,-39.12944537928801
1,-30.86571497131836
