total_int,total_rew
8,-28.120767707953636
2,-26.45186926299067
3,-23.03670190273866
3,-22.37206919364415
1,-13.52440410687251
5,-52.32286642447841
7,-60.08658700011783
3,-29.624247940158895
12,-53.13841788374536
5,-35.870944536534594
9,-30.49817461443289
3,-18.17734137724392
2,-18.432851771353754
1,-46.14942464411551
3,-27.018762682749735
1,-28.533621291106982
6,-26.10909917476766
4,-20.17777217658968
5,-34.02116303708103
2,-22.380306405622893
5,-43.063585182246726
6,-42.15574989621507
5,-25.21611536336717
5,-32.65946823436285
0,-23.10767315748827
0,-22.799933445549676
0,-27.503844349854567
3,-52.512840463492694
4,-35.96231139279935
4,-57.259749299675086
2,-25.8014883538771
8,-39.907487027201235
4,-20.725891448348587
5,-40.16224941720127
3,-19.776796552231335
3,-29.87438924535107
7,-37.32084852086665
8,-23.544966925659303
4,-23.98853466761287
3,-21.560412447799067
7,-34.52793470719744
3,-33.833055917394674
6,-36.6863189812594
6,-45.504531618412464
7,-38.584937112992414
6,-24.33285903555428
4,-15.68769580516198
1,-27.006541764699346
1,-63.00720239152377
2,-21.513240939086536
2,-30.78955863445046
0,-20.994253859822624
4,-34.91011261089166
0,-27.363375753159012
1,-20.667154338282156
2,-57.96292800127058
1,-50.98371963714509
2,-14.234321970482094
3,-17.85896121831346
7,-47.8365255271249
3,-29.37995181071433
8,-29.590128365880716
5,-24.916485631311627
2,-15.871388568093792
2,-22.262650521664774
3,-17.565476908520814
1,-30.826852443153296
3,-18.12151184472755
2,-19.15743591668573
2,-21.1801367082344
6,-27.03777973547723
0,-20.047281909509913
0,-25.07830691721702
5,-41.06288926013586
1,-42.54422874334953
1,-16.68861901559435
5,-44.50314089196926
2,-74.35351559826464
3,-21.718949263046873
6,-34.18101468511306
0,-21.567050932032544
2,-21.693303118664552
2,-32.340061396009006
2,-11.238845810622756
7,-40.64700682411676
10,-66.68520404264642
2,-40.026816351228824
1,-29.745207994679724
5,-29.121601966860837
7,-35.77830833849085
2,-33.65673758786222
6,-41.62514990230069
8,-22.61168554652437
2,-25.453506852366196
1,-23.19553769980294
6,-14.703140955350854
4,-22.647029623806567
