speed_change,heading_change
9.257032527076941,26.42024368964917
36.98762337859248,12.0989723176707
6.35299798416488,11.739113399613188
47.040046258801816,88.92919417933001
167.82976961859524,-71.31901561503452
88.55329007007002,42.89830198998405
21.467469757024872,75.04499069693327
6.530378193047198,-22.656851065976923
4.298436077464895,-15.265057146946106
1.7693611688869433,6.71942377831823
1.2795503158330104,-4.832753362012568
15.701412816997482,51.916520728135026
3.859889077188084,6.8690835873542255
10.543392857004784,44.64467202756322
6.094005629655776,8.034627336249741
7.5430450255489045,1.244398963494632
7.482301622199048,24.682454683310056
5.093885743871097,-17.925409878332317
2.680634352080519,-9.718227177733525
13.361690330683306,-40.32518558660266
8.279939571494916,15.52066771547726
0.8024069830683994,0.1352940523203756
2.1378026651266433,0.6076078443986148
3.933744197729991,12.797388215134674
0.7231797883766473,1.5577760643951706
1.3949800085170538,0.414392279519916
0.6330509407497273,0.09694769009269066
3.0184418131245074,1.225217228899453
16.103930113894396,83.15531891577439
1.686218749520478,0.49219094962700183
0.5470100535941315,0.08423424811729774
2.9724281838473847,4.380622171895993
2.5663523960605925,0.7116632947865469
0.3700412840540533,-0.5152782500870785
1.0695645658500552,0.3737084481180659
2.132497371982519,3.9482907592006313
1.0947592772598445,0.18846388872572106
0.6017348858567934,0.10004622593675094
1.2379883522938384,0.43782579581824166
1.093417861844757,0.1882148279500484
8.55719189110683,3.1720694600936667
2.2985660694494876,7.188598556377997
21.155049728678495,171.7989665185189
244.4276775302931,38.66250835674424
163.71103442444115,138.12059273078546
0.5511751196046306,-0.01765073124403216
0.3741963227849331,-0.012741217196776233
45.419693457646794,-97.26817134453209
99.52564081877806,-47.89130008802806
2.3477383198637574,-9.279804909759662
1.1773078929084833,4.141464754805497
20.880948624110996,58.54004598954475
4.185053654896396,-2.0361145880595757
9.19791728252716,-6.642468495185966
8.818989297746358,-50.52035507746206
9.590945979776665,22.196992333218304
11.872616662475616,-14.87135088318226
12.972071596934516,30.10355892780467
7.302935236215463,29.027359579069184
11.521396895744267,41.79294361265278
52.40860780256273,97.97263709151383
2.935297329688665,2.367010947480935
7.862417768380545,28.07596227174639
2.2699322287935573,2.5504243696044
3.136469398971455,6.072770444356934
3.460374938313759,2.7126691644469076
4.28572152452253,-1.5643611221015306
3.2691736799642794,-5.862128334992747
6.170587120146659,-22.276535655465892
197.09342714212863,-31.530824124842695
4.583250034827208,-4.826356221716765
135.52235347948454,53.861421488278836
33.569846789798,-41.69671458099725
187.87386489696834,-44.38650321402574
76.47629541789676,39.600542128827584
38.62659743385266,-93.28401915651631
10.685828486196709,34.31927522649781
21.16171351626983,68.62744605564416
10.205267968015216,8.055945634304976
1.7973330650578985,5.70712741520083
6.849872963918113,-9.165196888629879
12.303186586534258,-33.03387004186823
9.906380351804456,-34.84981529161172
6.811106087281116,-23.06184067618932
4.875157994846504,-15.690943341547381
