episode,tot_reward,tot_intrusions,tot_drift
0,-14.48089643348826,6,0.028082438521484173
1,-11.741747883014977,2,0.03225744332124165
2,-8.737314827978619,0,0.028931506052909346
3,-17.797878374216587,8,0.0326595945807217
4,-11.476361235210774,2,0.03137867958679064
5,-37.68352109578124,2,0.1181573546217922
6,-8.774326843813736,0,0.0290540623967342
7,-16.32701566136414,2,0.04744044920981515
8,-12.078734290649658,4,0.026750775796853223
9,-43.70598388623968,14,0.09836418505377391
10,-16.38424193482613,4,0.051174553449694724
11,-9.263646238715326,0,0.030674325293759352
12,-10.409896513048166,2,0.027847339447179476
13,-30.268888243537923,18,0.040625457760059575
14,-15.236439539820891,2,0.04382926999940712
15,-13.43711566416341,4,0.03124872736477949
16,-29.086524687368957,6,0.07852559417472431
17,-30.88775429183399,14,0.055919716198125524
18,-30.300881333505007,10,0.06722146136922195
19,-35.63741223113134,10,0.08489209348056748
20,-18.185989547278922,10,0.027105925653241266
21,-19.981397843041186,10,0.03305098623523561
22,-13.452546776233167,4,0.035009432504567284
23,-12.548278029177835,4,0.028305556388006168
24,-12.991864295613418,2,0.036396901641103964
25,-11.914672594426209,0,0.03945255825968942
26,-14.077793678178937,6,0.026747661186022852
27,-28.770873551397607,16,0.04228766076621758
28,-28.811473718046468,4,0.08215719774187587
29,-6.450605961442779,0,0.028797348042155325
30,-73.75625333195516,20,0.1780008388475337
31,-9.425652363421278,0,0.03121076941530225
32,-7.03184834527412,0,0.03030969114342299
33,-9.308023205951253,0,0.031234977201178786
34,-27.742775793244014,6,0.07199594633524518
35,-10.0090723396964,2,0.03229464653103383
36,-7.865288982759765,0,0.030485616212247182
37,-10.249825121476563,0,0.03393981828303501
38,-15.183060316621106,6,0.030407484492122966
39,-7.5254187046574765,0,0.024918604982309526
40,-33.464257327076155,0,0.11080879909627878
41,-11.94790418214085,0,0.03956259662960545
42,-16.26568325181049,6,0.03399232864837922
43,-8.08075978446964,0,0.026757482730031954
44,-8.150192108868742,0,0.026987391088969335
45,-10.277268988751763,2,0.02740817545944299
46,-10.5149362764725,2,0.028195153233352643
47,-10.211383448397068,2,0.027190011418533337
48,-54.33912159608182,4,0.16668583309960877
49,-10.400223783163167,0,0.034437827096566745
50,-37.45442696883858,6,0.10415373168489567
51,-13.90980632302407,2,0.03943644477822536
52,-9.668655770390659,0,0.032015416458247334
53,-22.867973431154443,6,0.05939427264491014
54,-10.496164145877826,2,0.028132993860522627
55,-14.715773583870677,4,0.03695094339265766
56,-18.660507159596758,10,0.03137864912897375
57,-12.609791465064365,4,0.028509243261802552
58,-16.92068863675426,8,0.02953870409521285
59,-9.281325990224582,0,0.03073286751729998
60,-33.54346209422857,6,0.09120351686830648
61,-13.254897556502149,2,0.03726787270364954
62,-21.3519682058646,0,0.07849988310979644
63,-30.81066345928569,20,0.03579689887180681
64,-7.208797223896073,2,0.027706368212213176
65,-15.809086685191518,2,0.04572545259997191
66,-42.321934647239736,26,0.06326331258620059
67,-13.231122663191652,2,0.03718914789136304
68,-16.482292970472898,8,0.028087062816135516
69,-11.021053815388846,2,0.029871039123804084
70,-30.198196588690276,2,0.09337151188308046
71,-11.985073319113534,4,0.02644064012951496
