episode,total_reward,total_intrusions,average_drift
0,[-11.74826452],224,0.07408980028308862
1,[-11.74826452  -5.34705931],90,0.10084039423699925
2,[-11.74826452  -5.34705931  -6.16188659],98,0.16388137516686252
3,[-11.74826452  -5.34705931  -6.16188659  -4.5808062 ],82,0.06968205792025181
4,[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367],92,0.0729884887213526
5,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944]",346,0.10400606548560506
6,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005]",286,0.05388704617607295
7,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332]",180,0.100554420473024
8,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601]",252,0.19497033843819234
9,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561]",48,0.060314509990136496
10,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955]",94,0.16258695420497485
11,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955  -6.76594521]",80,0.33324641082537004
12,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955  -6.76594521  -9.75751949]",178,0.10331560171317779
13,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955  -6.76594521  -9.75751949 -11.81541767]",206,0.1612146458542057
14,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955  -6.76594521  -9.75751949 -11.81541767 -61.90637818]",630,1.2066023087799875
15,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955  -6.76594521  -9.75751949 -11.81541767 -61.90637818
 -62.2548459 ]",486,1.6220019616955494
16,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955  -6.76594521  -9.75751949 -11.81541767 -61.90637818
 -62.2548459  -50.67242535]",338,1.3401756091409252
17,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955  -6.76594521  -9.75751949 -11.81541767 -61.90637818
 -62.2548459  -50.67242535 -37.80319277]",166,1.170761617744428
18,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955  -6.76594521  -9.75751949 -11.81541767 -61.90637818
 -62.2548459  -50.67242535 -37.80319277 -19.79723591]",164,0.9745576398011324
19,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955  -6.76594521  -9.75751949 -11.81541767 -61.90637818
 -62.2548459  -50.67242535 -37.80319277 -19.79723591 -41.83498529]",222,1.21964227335092
20,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955  -6.76594521  -9.75751949 -11.81541767 -61.90637818
 -62.2548459  -50.67242535 -37.80319277 -19.79723591 -41.83498529
 -39.81972241]",164,1.254750889130674
21,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955  -6.76594521  -9.75751949 -11.81541767 -61.90637818
 -62.2548459  -50.67242535 -37.80319277 -19.79723591 -41.83498529
 -39.81972241 -39.48253736]",156,1.257243546053762
22,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955  -6.76594521  -9.75751949 -11.81541767 -61.90637818
 -62.2548459  -50.67242535 -37.80319277 -19.79723591 -41.83498529
 -39.81972241 -39.48253736 -36.35821871]",278,1.0543764653403425
23,"[-11.74826452  -5.34705931  -6.16188659  -4.5808062   -5.14741367
 -18.31925944 -14.59099005  -9.98543332 -14.33523601  -2.75585561
  -5.95191955  -6.76594521  -9.75751949 -11.81541767 -61.90637818
 -62.2548459  -50.67242535 -37.80319277 -19.79723591 -41.83498529
 -39.81972241 -39.48253736 -36.35821871 -35.18933038]",180,1.0392591420150998
