episode,total_reward,total_intrusions,average_drift
33,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562]",282,1.1514441881356041
34,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285]",216,1.217561621052787
35,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552]",274,1.0899288865788423
36,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378]",122,1.0419874128946491
37,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603 ]",192,1.1931730275835153
38,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716 ]",286,1.0489663956887978
39,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148]",422,1.0716238796757667
40,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381  ]",116,0.9516014382931974
41,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694]",264,1.1269129969049658
42,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803 ]",196,1.1263881070280024
43,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587 ]",180,1.0247166150269456
44,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284]",178,1.1009631355309912
45,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226 ]",252,1.0801290333625704
46,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226  -40.01343089]",240,1.1721100792429342
47,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226  -40.01343089 -38.75817851]",212,1.1308505425320177
48,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226  -40.01343089 -38.75817851 -24.9594784 ]",212,0.8809495951308406
