episode,total_reward,total_intrusions,average_drift
0,[-8.9935651],178,0.00882689668571563
1,[-8.9935651  -1.87776426],36,0.008185711216263832
2,[-8.9935651  -1.87776426 -2.96156136],58,0.00741703124156545
3,[-8.9935651  -1.87776426 -2.96156136 -6.30243882],114,0.0762580788745177
4,[-8.9935651  -1.87776426 -2.96156136 -6.30243882 -8.91486858],178,0.004373112278727134
5,[-8.9935651  -1.87776426 -2.96156136 -6.30243882 -8.91486858 -4.74729742],94,0.006142522716317063
6,"[-8.9935651  -1.87776426 -2.96156136 -6.30243882 -8.91486858 -4.74729742
 -8.12754462]",162,0.003624292471729953
7,"[-8.9935651  -1.87776426 -2.96156136 -6.30243882 -8.91486858 -4.74729742
 -8.12754462 -1.42564129]",28,0.004203490731385546
8,"[-8.9935651  -1.87776426 -2.96156136 -6.30243882 -8.91486858 -4.74729742
 -8.12754462 -1.42564129 -6.44521102]",128,0.005948818018859291
9,"[-8.9935651  -1.87776426 -2.96156136 -6.30243882 -8.91486858 -4.74729742
 -8.12754462 -1.42564129 -6.44521102 -3.75649324]",74,0.00664626355635658
10,"[-8.9935651  -1.87776426 -2.96156136 -6.30243882 -8.91486858 -4.74729742
 -8.12754462 -1.42564129 -6.44521102 -3.75649324 -5.06010585]",100,0.006533244555901719
11,"[ -8.9935651   -1.87776426  -2.96156136  -6.30243882  -8.91486858
  -4.74729742  -8.12754462  -1.42564129  -6.44521102  -3.75649324
  -5.06010585 -13.05772552]",260,0.007215689595655594
12,"[ -8.9935651   -1.87776426  -2.96156136  -6.30243882  -8.91486858
  -4.74729742  -8.12754462  -1.42564129  -6.44521102  -3.75649324
  -5.06010585 -13.05772552 -11.85574203]",236,0.007334478274740096
13,"[ -8.9935651   -1.87776426  -2.96156136  -6.30243882  -8.91486858
  -4.74729742  -8.12754462  -1.42564129  -6.44521102  -3.75649324
  -5.06010585 -13.05772552 -11.85574203  -3.25726959]",46,0.08863607323002688
14,"[ -8.9935651   -1.87776426  -2.96156136  -6.30243882  -8.91486858
  -4.74729742  -8.12754462  -1.42564129  -6.44521102  -3.75649324
  -5.06010585 -13.05772552 -11.85574203  -3.25726959 -26.86701983]",136,0.7963103106708432
15,"[ -8.9935651   -1.87776426  -2.96156136  -6.30243882  -8.91486858
  -4.74729742  -8.12754462  -1.42564129  -6.44521102  -3.75649324
  -5.06010585 -13.05772552 -11.85574203  -3.25726959 -26.86701983
 -20.51974736]",246,0.7085989102569189
16,"[ -8.9935651   -1.87776426  -2.96156136  -6.30243882  -8.91486858
  -4.74729742  -8.12754462  -1.42564129  -6.44521102  -3.75649324
  -5.06010585 -13.05772552 -11.85574203  -3.25726959 -26.86701983
 -20.51974736 -22.50530348]",276,0.7135494659052123
17,"[ -8.9935651   -1.87776426  -2.96156136  -6.30243882  -8.91486858
  -4.74729742  -8.12754462  -1.42564129  -6.44521102  -3.75649324
  -5.06010585 -13.05772552 -11.85574203  -3.25726959 -26.86701983
 -20.51974736 -22.50530348 -16.37123035]",240,0.5464037938816086
18,"[ -8.9935651   -1.87776426  -2.96156136  -6.30243882  -8.91486858
  -4.74729742  -8.12754462  -1.42564129  -6.44521102  -3.75649324
  -5.06010585 -13.05772552 -11.85574203  -3.25726959 -26.86701983
 -20.51974736 -22.50530348 -16.37123035 -33.48421469]",222,0.8953685877796143
19,"[ -8.9935651   -1.87776426  -2.96156136  -6.30243882  -8.91486858
  -4.74729742  -8.12754462  -1.42564129  -6.44521102  -3.75649324
  -5.06010585 -13.05772552 -11.85574203  -3.25726959 -26.86701983
 -20.51974736 -22.50530348 -16.37123035 -33.48421469 -28.71400888]",230,0.6830955906608646
20,"[ -8.9935651   -1.87776426  -2.96156136  -6.30243882  -8.91486858
  -4.74729742  -8.12754462  -1.42564129  -6.44521102  -3.75649324
  -5.06010585 -13.05772552 -11.85574203  -3.25726959 -26.86701983
 -20.51974736 -22.50530348 -16.37123035 -33.48421469 -28.71400888
 -36.33202312]",376,0.7792010276012075
21,"[ -8.9935651   -1.87776426  -2.96156136  -6.30243882  -8.91486858
  -4.74729742  -8.12754462  -1.42564129  -6.44521102  -3.75649324
  -5.06010585 -13.05772552 -11.85574203  -3.25726959 -26.86701983
 -20.51974736 -22.50530348 -16.37123035 -33.48421469 -28.71400888
 -36.33202312 -21.24823536]",208,0.7481541630310309
