episode,total_reward,total_intrusions,average_drift
27,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237]",140,1.2636986646028614
28,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295]",336,1.0183739265422247
29,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511]",348,1.2686434569191518
30,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986]",208,1.3825146768759629
31,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763]",246,1.1306112287392593
32,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293]",164,1.1477084421067192
33,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613 ]",318,1.1735222325588281
34,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792]",308,1.1461493214527325
35,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605]",144,1.1813754644123775
36,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121]",218,1.2758542315967074
