episode,total_reward,total_intrusions,average_drift
14,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916]",74,1.0580550101401538
15,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901 ]",186,0.989114686544915
16,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899]",266,1.0507432140005368
17,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698]",100,1.1464232927399458
18,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121]",112,1.0023436987718495
19,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782]",210,0.8585102112196935
20,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441]",90,1.002465457329304
21,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625]",226,1.0313518648772226
22,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042]",194,0.988596858712665
23,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525]",176,0.8527423858679958
24,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578]",106,1.0855252294877766
25,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985]",248,1.2199372958203496
26,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502]",92,0.7974297189990557
27,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517 ]",98,0.9736250673923192
28,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053]",288,0.9789722433839296
29,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906]",118,0.9844093017698713
30,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957]",238,1.077419824400349
31,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144]",254,0.8002974796474259
32,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572 ]",124,0.8572157087244298
33,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711]",92,0.7975783827915013
34,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332]",132,1.1079772514961346
35,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812]",164,0.6581805365768676
