episode,total_reward,total_intrusions,average_drift
31,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338]",268,1.2842723385294266
32,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441]",140,1.4271937111903992
33,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809]",216,1.3503373741122398
34,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985]",222,1.2273723587881125
35,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188]",190,1.243743544976862
36,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739]",112,1.1709682493133866
37,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093]",156,1.1980382189317937
38,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093 -28.47722937]",312,1.11010598001661
39,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093 -28.47722937 -20.3896326 ]",220,1.0206122393718742
40,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093 -28.47722937 -20.3896326
 -29.106137  ]",258,1.0661932239154375
