episode,total_reward,total_intrusions,average_drift
0,[-3.94589695],72,0.04434576330553483
1,[ -3.94589695 -13.79923495],258,0.10218578980310379
2,[ -3.94589695 -13.79923495  -3.75719033],66,0.05255061291727972
3,[ -3.94589695 -13.79923495  -3.75719033  -7.29262112],140,0.040641822607461346
4,[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723],76,0.046662153842472825
5,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219]",108,0.04600412747646714
6,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731]",120,0.040874973491368205
7,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373]",172,0.06536189531609445
8,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401]",230,0.04339780971815845
9,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615]",92,0.053766611883970444
10,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121]",216,0.033984690745430986
11,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052]",298,0.04547201436100949
12,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796]",114,0.03453016286562295
13,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602]",160,0.03588575582224859
14,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228]",146,0.8231127595235035
15,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032]",162,1.346194457113139
16,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032 -50.48353791]",340,1.3287118219669791
17,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032 -50.48353791 -47.63032685]",316,1.26310820818259
18,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032 -50.48353791 -47.63032685 -45.05361659]",320,1.2207401926528616
19,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032 -50.48353791 -47.63032685 -45.05361659 -22.54317088]",144,1.0959407774586079
20,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032 -50.48353791 -47.63032685 -45.05361659 -22.54317088
 -41.99281486]",286,1.0989212245235933
21,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032 -50.48353791 -47.63032685 -45.05361659 -22.54317088
 -41.99281486 -22.43228985]",188,1.0682204794576193
22,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032 -50.48353791 -47.63032685 -45.05361659 -22.54317088
 -41.99281486 -22.43228985 -16.33776205]",122,1.0237762053654298
23,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032 -50.48353791 -47.63032685 -45.05361659 -22.54317088
 -41.99281486 -22.43228985 -16.33776205 -31.58097183]",180,1.283009763207636
24,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032 -50.48353791 -47.63032685 -45.05361659 -22.54317088
 -41.99281486 -22.43228985 -16.33776205 -31.58097183 -47.75624585]",308,1.42538527991395
25,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032 -50.48353791 -47.63032685 -45.05361659 -22.54317088
 -41.99281486 -22.43228985 -16.33776205 -31.58097183 -47.75624585
 -42.50772924]",484,1.0897457882581851
26,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032 -50.48353791 -47.63032685 -45.05361659 -22.54317088
 -41.99281486 -22.43228985 -16.33776205 -31.58097183 -47.75624585
 -42.50772924 -19.05499588]",124,1.2242853215764073
27,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032 -50.48353791 -47.63032685 -45.05361659 -22.54317088
 -41.99281486 -22.43228985 -16.33776205 -31.58097183 -47.75624585
 -42.50772924 -19.05499588 -22.81881616]",208,1.0263484428315703
28,"[ -3.94589695 -13.79923495  -3.75719033  -7.29262112  -4.17329723
  -5.75883219  -6.29838731  -9.14250373 -11.81680401  -5.10540615
 -10.99711121 -15.27287052  -5.90372796  -8.26196602 -14.54339228
 -42.02410032 -50.48353791 -47.63032685 -45.05361659 -22.54317088
 -41.99281486 -22.43228985 -16.33776205 -31.58097183 -47.75624585
 -42.50772924 -19.05499588 -22.81881616 -39.55237824]",350,1.1606514863909643
