episode,total_reward,total_intrusions,average_drift
0,[-6.40742269],100,0.16365380062425058
1,[-6.40742269 -6.63104343],128,0.03610053593326662
2,[-6.40742269 -6.63104343 -2.83488436],52,0.03505736749514325
3,[-6.40742269 -6.63104343 -2.83488436 -6.35833852],122,0.03638570695366673
4,[-6.40742269 -6.63104343 -2.83488436 -6.35833852 -3.73690985],68,0.0421137307153595
5,[-6.40742269 -6.63104343 -2.83488436 -6.35833852 -3.73690985 -6.06542931],114,0.04456454967553191
6,"[-6.40742269 -6.63104343 -2.83488436 -6.35833852 -3.73690985 -6.06542931
 -2.85080378]",52,0.03634837420863816
7,"[-6.40742269 -6.63104343 -2.83488436 -6.35833852 -3.73690985 -6.06542931
 -2.85080378 -6.90106076]",130,0.04557508647984981
8,"[-6.40742269 -6.63104343 -2.83488436 -6.35833852 -3.73690985 -6.06542931
 -2.85080378 -6.90106076 -4.09483772]",76,0.03931169571529523
9,"[-6.40742269 -6.63104343 -2.83488436 -6.35833852 -3.73690985 -6.06542931
 -2.85080378 -6.90106076 -4.09483772 -6.96954579]",132,0.04452358939159412
10,"[-6.40742269 -6.63104343 -2.83488436 -6.35833852 -3.73690985 -6.06542931
 -2.85080378 -6.90106076 -4.09483772 -6.96954579 -8.9533021 ]",136,0.21972470420418821
11,"[ -6.40742269  -6.63104343  -2.83488436  -6.35833852  -3.73690985
  -6.06542931  -2.85080378  -6.90106076  -4.09483772  -6.96954579
  -8.9533021  -15.14025616]",296,0.04536748843492231
12,"[ -6.40742269  -6.63104343  -2.83488436  -6.35833852  -3.73690985
  -6.06542931  -2.85080378  -6.90106076  -4.09483772  -6.96954579
  -8.9533021  -15.14025616  -8.51804635]",148,0.11408636272777768
13,"[ -6.40742269  -6.63104343  -2.83488436  -6.35833852  -3.73690985
  -6.06542931  -2.85080378  -6.90106076  -4.09483772  -6.96954579
  -8.9533021  -15.14025616  -8.51804635  -8.78130484]",124,0.21333097873118026
14,"[ -6.40742269  -6.63104343  -2.83488436  -6.35833852  -3.73690985
  -6.06542931  -2.85080378  -6.90106076  -4.09483772  -6.96954579
  -8.9533021  -15.14025616  -8.51804635  -8.78130484 -62.47652546]",450,1.5863700580296778
