episode,tot_reward,tot_intrusions,tot_drift,hdg_in,spd_in
0,-21.459923655909165,14,0.024701733959964133,-0.0011130116998668241,-2.806116496118338
1,-9.717115765885577,2,0.025553363463197268,-0.0036049909669973747,-2.7017729347238677
2,-7.7315627681617975,2,0.018978684662787463,-0.0021345848723357875,-2.9608394812883128
3,-12.642206896420591,4,0.028616579127220505,-0.0010877217332653651,-2.741139693842528
4,-14.944424895631547,8,0.022994784422621015,-0.00038040111663239384,-2.869354037700039
5,-20.714641737727415,12,0.03601091627160087,-0.0032518876381680247,-2.752143712285983
6,-9.21998928399478,4,0.018642818871409977,-0.0036857684996045594,-2.8649384533780227
7,-35.22712431438954,28,0.02393087521321034,-0.001627768855079367,-2.9261060535016514
8,-9.763149597548246,4,0.019083276813073646,-0.0025873467889545015,-2.9834267864513673
9,-6.686191919917443,2,0.015517191787806152,-0.0035477317492662625,-3.0116960947076477
10,-47.99331601673207,10,0.1258056821746095,-0.4599854437632807,-2.8266838702390555
11,-8.114051370619423,2,0.020245203213971576,-0.0019940629237198844,-2.980620158664263
12,-6.435541385426019,2,0.015190210224061758,-0.002835614251830832,-2.8226800131519827
13,-8.674125186540143,2,0.022099752273311613,-0.001503661640962919,-2.748014617969797
14,-11.533448967743164,6,0.01832267870113639,-0.0026261560633525694,-2.5723009178343625
15,-22.830733932329377,16,0.024222460752941165,-0.0032034179291535987,-2.8631943774701867
16,-15.194487999004826,2,0.04369035761259871,-0.20148172512224918,-2.907898394311069
17,-46.26235545604816,8,0.1266965412451931,-0.6150250907934931,-2.939274565069412
18,-6.6692992853780755,0,0.022083772468139355,-0.002154264195563136,-2.725523727814303
19,-10.30469759374699,4,0.0208764820984999,-0.002806603924112259,-2.9983325827280862
20,-12.69103127141475,6,0.022155732686803802,-0.002358731113829872,-3.0400839322585256
21,-23.411785827953437,14,0.03245443388949502,-0.001798915025930659,-2.929236666924854
22,-27.055530357063603,18,0.02998519985782635,-0.0006094238341520756,-2.952408144908991
23,-21.55471447002432,14,0.02501561082789463,-0.00039978558498292863,-2.9064336146622747
24,-16.14713414640331,10,0.020354748829150157,-0.004484903020938452,-2.8888108851831977
25,-7.068795479576967,2,0.016784090991976704,-0.0021518593519889067,-2.8310419391354795
26,-9.607484270074368,2,0.02519034526514692,-0.003348510385959699,-2.679697375131165
27,-21.71720638209699,8,0.045421213185751666,-0.2619927967527715,-2.744011034333573
28,-10.02238119392715,4,0.0213559616805926,-0.004335740454171302,-2.8131878973092186
29,-5.33662708832983,0,0.01767095062360875,-0.003838907830711664,-2.9383064707002946
30,-25.207105715965508,18,0.023864588463461865,-0.00271537420100884,-2.6687338329177708
31,-7.299947957313962,0,0.024172013103688612,-0.0011497183238766743,-2.7405541241912568
32,-12.607556397977833,6,0.022173008046905675,-0.0023017173068091623,-2.565761662911211
33,-11.98469411714059,4,0.026439384493842942,-0.002288880235429187,-2.5216542134453106
34,-8.283298710494956,0,0.027428141425479995,-8.753734788801891e-05,-2.7234917498704347
35,-35.97281167462689,30,0.019777522101414376,-0.0016657268192884296,-2.664280917035099
36,-7.357630667339903,0,0.024363015454768003,-0.005170415563120303,-2.9554032021680916
37,-7.637124479808722,2,0.01957334888822471,-0.003168680150863818,-2.5846549446137135
38,-4.900274238895636,0,0.01622607363872724,-0.0016499795921652621,-2.9064281133566334
39,-7.082467221879732,2,0.01705525913382459,-0.003922335271748571,-2.9321703953888805
40,-18.42215166610846,12,0.022145350572787537,-0.002353363331037991,-2.522646700174002
41,-26.4072323629726,18,0.027838517758187402,-0.0014080390593172699,-2.826084403047224
42,-15.787353781454785,10,0.019163423117400033,-0.0038651652993412305,-2.8364745879255446
43,-6.893834421909328,0,0.022827266297712975,-0.0025031195169805073,-2.8978838878013007
44,-9.152545011159164,2,0.023683923878010545,-0.0034432781465499607,-3.0752554530916205
45,-12.486294622857834,2,0.03472282987701269,-0.1420120282507261,-3.072324901109057
46,-12.642091181561508,4,0.028616195965435392,-0.001744147532639581,-2.7188466374208806
47,-5.2140603843276905,0,0.01726510061035657,-0.004559079716321303,-2.6750701964698695
48,-23.517423073041613,10,0.048623824003747027,-0.1100894054774406,-2.926238221605476
49,-15.461864746756167,8,0.02470816141309982,-0.0034181136165326153,-2.9605121425189544
50,-7.195946092578525,2,0.017205119511849373,-0.004411312823865365,-2.855165289033787
51,-10.904520486381907,4,0.022862650617158628,-0.004985067994944406,-2.8778124950400596
52,-10.221033023134005,4,0.02115997626916325,-0.0043691318813191896,-2.8741949573122
53,-16.546486668891088,8,0.028299624731427296,-0.0025266678379355185,-2.790617015111166
54,-26.638461337045694,20,0.021981660056442417,-0.002507897325026624,-2.6648925211784795
55,-22.859845437952796,6,0.060213733706974255,-0.4911388442627919,-2.8249570508622233
56,-6.1770692987776545,0,0.020453871850257162,-0.0024445155814146646,-2.914051334168731
57,-12.307415992389716,6,0.02088548341850895,-0.003731789706438311,-2.50980002990876
58,-4.798405684983949,0,0.01588876054630445,-0.00304361495327371,-2.8127202602994585
59,-17.98063187229127,10,0.02642593335195777,-0.0017635606375788122,-2.874648496271448
60,-34.67082193887348,24,0.035333847479713236,-0.0018086114991610462,-2.780229712608394
