timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
144645,502,1,1,True
144803,503,5,5,False
145054,504,5,5,False
145354,505,2,2,True
145654,506,2,2,True
145951,507,5,5,False
146251,508,1,1,True
146551,509,4,4,True
146851,510,4,4,True
147151,511,2,2,True
147451,512,3,3,True
147751,513,2,2,True
148051,514,4,4,True
148351,515,4,4,True
148651,516,2,2,True
148854,517,5,5,False
149154,518,3,3,True
149454,519,3,3,True
149754,520,1,1,True
150054,521,2,2,True
150265,522,5,5,False
150565,523,2,2,True
150865,524,1,1,True
151165,525,3,3,True
151465,526,4,4,True
151722,527,5,5,False
152022,528,3,3,True
152264,529,5,5,False
152564,530,3,3,True
152797,531,5,5,False
153023,532,5,5,False
153323,533,4,4,True
153623,534,4,4,True
153923,535,5,5,False
154223,536,4,4,True
154523,537,3,3,True
154823,538,3,3,True
155123,539,2,2,True
155423,540,1,1,True
155641,541,5,5,False
155941,542,2,2,True
156241,543,1,1,True
156541,544,4,4,True
156789,545,5,5,False
156960,546,5,5,False
157260,547,3,3,True
157560,548,2,2,True
157723,549,5,5,False
157957,550,5,5,False
158171,551,5,5,False
158361,552,5,5,False
158661,553,2,2,True
158865,554,5,5,False
159165,555,4,4,True
159465,556,2,2,True
159684,557,5,5,False
159951,558,5,5,False
160251,559,2,2,True
160551,560,3,3,True
160851,561,2,2,True
161151,562,1,1,True
161451,563,3,3,True
161751,564,4,4,True
162051,565,4,4,True
162342,566,5,5,False
162642,567,1,1,True
162932,568,5,5,False
163232,569,1,1,True
163532,570,3,3,True
163734,571,5,5,False
164034,572,4,4,True
164259,573,5,5,False
164559,574,4,4,True
164859,575,4,4,True
165078,576,5,5,False
165378,577,4,4,True
165607,578,5,5,False
165907,579,3,3,True
166207,580,4,4,True
166507,581,4,4,True
166777,582,5,5,False
167074,583,5,5,False
167374,584,3,3,True
167674,585,3,3,True
167974,586,1,1,True
168274,587,3,3,True
168473,588,5,5,False
168773,589,2,2,True
169073,590,3,3,True
169373,591,4,4,True
169673,592,4,4,True
169973,593,2,2,True
170273,594,3,3,True
170573,595,2,2,True
170873,596,3,3,True
171168,597,5,5,False
171340,598,5,5,False
171536,599,5,5,False
171836,600,4,4,True
172107,601,5,5,False
172407,602,2,2,True
172707,603,4,4,True
173007,604,4,4,True
173251,605,5,5,False
173551,606,3,3,True
173825,607,5,5,False
174125,608,4,4,True
174425,609,2,2,True
174725,610,3,3,True
175025,611,3,3,True
175325,612,4,4,True
175583,613,5,5,False
175844,614,5,5,False
176113,615,5,5,False
176382,616,5,5,False
176682,617,4,4,True
176852,618,5,5,False
177152,619,4,4,True
177452,620,2,2,True
177752,621,4,4,True
178052,622,4,4,True
178352,623,2,2,True
178652,624,4,4,True
178952,625,4,4,True
179252,626,4,4,True
179552,627,2,2,True
179773,628,5,5,False
179956,629,5,5,False
180070,630,5,5,False
180370,631,3,3,True
180670,632,3,3,True
180970,633,2,2,True
181270,634,3,3,True
181553,635,5,5,False
181853,636,4,4,True
182120,637,5,5,False
182420,638,4,4,True
182720,639,2,2,True
182985,640,5,5,False
183282,641,5,5,False
183582,642,4,4,True
183882,643,4,4,True
184040,644,5,5,False
184340,645,4,4,True
184640,646,3,3,True
184727,647,5,5,False
185027,648,4,4,True
185226,649,5,5,False
185526,650,3,3,True
185826,651,3,3,True
186126,652,2,2,True
186426,653,3,3,True
186726,654,3,3,True
187026,655,4,4,True
187326,656,3,3,True
187626,657,3,3,True
187926,658,4,4,True
188226,659,4,4,True
188338,660,5,5,False
188609,661,5,5,False
188868,662,5,5,False
189168,663,2,2,True
189468,664,4,4,True
189693,665,5,5,False
189889,666,5,5,False
190189,667,4,4,True
190489,668,4,4,True
190789,669,1,1,True
191089,670,3,3,True
191389,671,2,2,True
191551,672,5,5,False
191851,673,4,4,True
192151,674,3,3,True
192336,675,5,5,False
192636,676,3,3,True
192936,677,2,2,True
193084,678,5,5,False
193384,679,2,2,True
193461,680,5,5,False
193761,681,2,2,True
194022,682,5,5,False
194322,683,1,1,True
194622,684,0,0,True
194842,685,5,5,False
195142,686,2,2,True
195442,687,1,1,True
195742,688,2,2,True
196042,689,3,3,True
196342,690,1,1,True
196642,691,4,4,True
196942,692,5,5,False
197242,693,3,3,True
197476,694,5,5,False
197776,695,3,3,True
198038,696,5,5,False
198099,697,5,5,False
198397,698,5,5,False
198692,699,5,5,False
198992,700,3,3,True
199292,701,4,4,True
199521,702,5,5,False
199821,703,4,4,True
200012,704,5,5,False
200278,705,5,5,False
200578,706,4,4,True
200730,707,5,5,False
201030,708,3,3,True
201280,709,5,5,False
201580,710,2,2,True
201715,711,5,5,False
202015,712,2,2,True
202115,713,5,5,False
202415,714,1,1,True
202715,715,2,2,True
203015,716,2,2,True
203202,717,5,5,False
203472,718,5,5,False
203763,719,5,5,False
204063,720,3,3,True
204363,721,1,1,True
204469,722,5,5,False
204769,723,4,4,True
204975,724,5,5,False
205275,725,3,3,True
205575,726,1,1,True
205629,727,5,5,False
205747,728,5,5,False
206047,729,2,2,True
206328,730,5,5,False
206628,731,4,4,True
206928,732,4,4,True
207094,733,5,5,False
207367,734,5,5,False
207667,735,1,1,True
207892,736,5,5,False
208192,737,4,4,True
208429,738,5,5,False
208729,739,3,3,True
208855,740,5,5,False
209155,741,4,4,True
209455,742,2,2,True
209512,743,5,5,False
209718,744,5,5,False
210018,745,2,2,True
210318,746,2,2,True
210618,747,4,4,True
210788,748,5,5,False
210991,749,5,5,False
211291,750,4,4,True
211591,751,4,4,True
211891,752,1,1,True
212191,753,3,3,True
212421,754,5,5,False
212721,755,4,4,True
212934,756,5,5,False
213095,757,5,5,False
213283,758,5,5,False
213453,759,5,5,False
213656,760,5,5,False
213956,761,0,0,True
214213,762,5,5,False
214513,763,2,2,True
214813,764,2,2,True
214887,765,5,5,False
215187,766,3,3,True
215487,767,3,3,True
215602,768,5,5,False
215881,769,5,5,False
216181,770,1,1,True
216328,771,5,5,False
216498,772,5,5,False
216798,773,3,3,True
217098,774,4,4,True
217237,775,5,5,False
217507,776,5,5,False
217671,777,5,5,False
217971,778,4,4,True
218271,779,4,4,True
218571,780,1,1,True
218871,781,4,4,True
218966,782,5,5,False
219266,783,3,3,True
219499,784,5,5,False
219799,785,2,2,True
