episode,los_id,los_dist,los_qdr
37,"((8, 16), (7, 17), (5, 18))","(np.float64(0.09355468285814943), np.float64(0.10544507594009037), np.float64(0.14055671927197835))","(np.float64(169.4875139207814), np.float64(112.1779434799497), np.float64(75.70190917305086))"
38,"((1, 16),)","(np.float64(0.14371757652094388),)","(np.float64(136.00618831902932),)"
41,"((9, 11), (9, 13), (11, 13))","(np.float64(0.05674804787825637), np.float64(0.1145143654200806), np.float64(0.11815267262688048))","(np.float64(-18.010151398960545), np.float64(-163.8922675340212), np.float64(-145.88211613506064))"
42,"((0, 9), (1, 7))","(np.float64(0.1143041568051726), np.float64(0.12814591678916662))","(np.float64(225.15244918658078), np.float64(-68.47431350461466))"
44,"((3, 11), (3, 13), (6, 17))","(np.float64(0.13852116889007648), np.float64(0.03269459275896133), np.float64(0.046482602088382056))","(np.float64(189.65579781933928), np.float64(129.4121392354744), np.float64(-200.54858908802674))"
45,"((4, 15),)","(np.float64(0.14130603680665327),)","(np.float64(210.20168317632437),)"
46,"((2, 16), (8, 18), (5, 18))","(np.float64(0.09193532302615806), np.float64(0.09185617431812336), np.float64(0.14297707317020414))","(np.float64(93.94453905419257), np.float64(-177.5503662523475), np.float64(-187.79755850298784))"
47,"((0, 9), (11, 17), (11, 15), (11, 18))","(np.float64(0.05774160165477524), np.float64(0.14137634772565416), np.float64(0.13991916042549696), np.float64(0.12133203589481759))","(np.float64(-177.74441068049893), np.float64(181.29496402533536), np.float64(121.21888656256485), np.float64(182.11019410885487))"
48,"((13, 17), (0, 7))","(np.float64(0.13348567416088278), np.float64(0.14784716533124448))","(np.float64(-74.04386176950308), np.float64(-128.81075562219436))"
49,"((1, 12),)","(np.float64(0.14617502894604265),)","(np.float64(186.57321690001947),)"
50,"((0, 12), (7, 12), (1, 12), (7, 13), (1, 7), (10, 18))","(np.float64(0.1488169487111572), np.float64(0.025320258751309277), np.float64(0.1333128607215047), np.float64(0.14770322472074682), np.float64(0.07550658863573127), np.float64(0.12051595680574191))","(np.float64(153.57235982745084), np.float64(200.9363380893676), np.float64(187.7405445097619), np.float64(-90.64714510266515), np.float64(250.41333871028075), np.float64(-182.10461993980726))"
51,"((10, 11), (15, 16), (5, 15), (10, 17), (0, 8), (7, 19), (7, 17))","(np.float64(0.13785874853338093), np.float64(0.11648995667018981), np.float64(0.13097212313469778), np.float64(0.1371547650563272), np.float64(0.13485618401927973), np.float64(0.1367265009599501), np.float64(0.14874037058553738))","(np.float64(44.93542070981732), np.float64(-228.20459672001033), np.float64(-42.609529529487645), np.float64(-125.64205342061382), np.float64(159.57700033363056), np.float64(-200.1478458159733), np.float64(-229.25111878938412))"
52,"((4, 16), (5, 18), (6, 17), (7, 14), (0, 16), (7, 19), (11, 19))","(np.float64(0.14886779966587935), np.float64(0.12115579999639929), np.float64(0.12789125118727032), np.float64(0.1381305834349736), np.float64(0.13600484133783725), np.float64(0.14447841644065784), np.float64(0.14467337701311575))","(np.float64(-58.78026504724278), np.float64(52.27461672307504), np.float64(-17.75164312962164), np.float64(-103.93792358524445), np.float64(-39.937766771693646), np.float64(39.05176700207301), np.float64(126.16921245504443))"
53,"((3, 5), (3, 8), (5, 8))","(np.float64(0.07015240873202117), np.float64(0.06769649270102773), np.float64(0.05146826666633338))","(np.float64(-65.75582757440787), np.float64(153.7475493512892), np.float64(219.50337692569707))"
54,"((8, 9),)","(np.float64(0.12770984694369503),)","(np.float64(-26.46057773572329),)"
55,"((15, 17),)","(np.float64(0.14466016085915065),)","(np.float64(111.09689508434866),)"
56,"((5, 6),)","(np.float64(0.12430621464430198),)","(np.float64(5.683354481057165),)"
57,"((0, 18), (0, 13))","(np.float64(0.1484033202620813), np.float64(0.1393070891051543))","(np.float64(-29.54723599778282), np.float64(110.3152848624575))"
58,"((3, 12),)","(np.float64(0.1264079803884562),)","(np.float64(-116.48393560187003),)"
59,"((2, 17),)","(np.float64(0.14659282584840977),)","(np.float64(-285.27649286992573),)"
60,"((2, 3), (2, 11), (3, 7))","(np.float64(0.13751779122063626), np.float64(0.03681042224728115), np.float64(0.11318496970618913))","(np.float64(121.16278205813592), np.float64(219.4282055389943), np.float64(148.97119498205154))"
61,"((0, 19), (1, 6), (9, 16), (8, 19))","(np.float64(0.1353602119902191), np.float64(0.1426698581826422), np.float64(0.09554485990541677), np.float64(0.09818176478129972))","(np.float64(3.8423374580177097), np.float64(-100.04980969379795), np.float64(209.80601461779992), np.float64(107.06897661406177))"
62,"((6, 18),)","(np.float64(0.1409437973113189),)","(np.float64(-239.10648798571248),)"
63,"((11, 12), (7, 17), (1, 10))","(np.float64(0.10230657334517448), np.float64(0.13773675210540867), np.float64(0.1341982044517697))","(np.float64(-74.88578534528096), np.float64(-141.3537777888552), np.float64(153.92563291144828))"
