episode,los_id,los_dist,los_qdr
35,"((1, 5), (8, 11), (12, 17))","(np.float64(0.14791005018126496), np.float64(0.14566196678251206), np.float64(0.1488633982469944))","(np.float64(-86.12488598915627), np.float64(263.14348891281594), np.float64(-163.94277086270787))"
37,"((0, 13),)","(np.float64(0.1302738093893433),)","(np.float64(121.18454212062142),)"
38,"((8, 13),)","(np.float64(0.12518304137438285),)","(np.float64(-136.51587383674007),)"
39,"((2, 19), (10, 12), (4, 15), (1, 13), (2, 7))","(np.float64(0.13819510504232152), np.float64(0.12611711057618344), np.float64(0.14956145006980429), np.float64(0.11459512185547142), np.float64(0.13671470773656588))","(np.float64(345.7024219301163), np.float64(-45.78003263219398), np.float64(-134.40560920555197), np.float64(206.3320390167949), np.float64(-100.4219020900511))"
40,"((0, 3), (0, 13), (3, 13), (6, 9), (11, 18))","(np.float64(0.08980228835132394), np.float64(0.023865933679205874), np.float64(0.1315635831369239), np.float64(0.12127510905898942), np.float64(0.1427478619855203))","(np.float64(-108.0205435123774), np.float64(142.7856379479229), np.float64(249.55162098971925), np.float64(260.0630635613589), np.float64(-181.17997315090375))"
41,"((2, 16), (0, 2))","(np.float64(0.13811173403950341), np.float64(0.0912812857733994))","(np.float64(-114.2705411972371), np.float64(229.39313641668036))"
42,"((2, 7),)","(np.float64(0.14104021318958032),)","(np.float64(-118.0060762110468),)"
43,"((0, 16), (1, 5))","(np.float64(0.09763911886159449), np.float64(0.11846623030452919))","(np.float64(72.01277218042964), np.float64(197.49870382773787))"
44,"((6, 8), (5, 12))","(np.float64(0.06828749119316635), np.float64(0.12380901497418446))","(np.float64(-114.75667994249977), np.float64(-125.73848793142093))"
45,"((4, 17), (8, 16), (2, 13))","(np.float64(0.13358061256472858), np.float64(0.14994129934389797), np.float64(0.10553153793313359))","(np.float64(129.4807854288299), np.float64(281.4521282071612), np.float64(177.65838506913258))"
46,"((2, 6), (4, 6), (5, 14), (8, 19), (10, 15), (9, 14), (9, 19))","(np.float64(0.13447517121572042), np.float64(0.09133194388392611), np.float64(0.11205541247362538), np.float64(0.12316189932626548), np.float64(0.07681056954162868), np.float64(0.14481845944763466), np.float64(0.13900490055948542))","(np.float64(230.37861840882053), np.float64(315.3720243825324), np.float64(190.50834216577186), np.float64(-174.89955556212078), np.float64(-147.86475684156756), np.float64(209.2691908894625), np.float64(149.96039571464968))"
47,"((5, 7), (11, 14), (16, 19))","(np.float64(0.11041319354650878), np.float64(0.10956882985551256), np.float64(0.04573970219942005))","(np.float64(263.980401422759), np.float64(-80.53728437048096), np.float64(-132.70211808324623))"
