episode,los_id,los_dist,los_qdr
42,"((1, 15), (3, 11), (3, 13), (4, 12), (6, 18), (8, 13), (11, 13))","(np.float64(0.06749526682309348), np.float64(0.14756642589796135), np.float64(0.1216668298102006), np.float64(0.14843598547373701), np.float64(0.13824886147543275), np.float64(0.10932476697853871), np.float64(0.13491123818964906))","(np.float64(-63.74812544515066), np.float64(239.72687523954102), np.float64(239.60340337163854), np.float64(251.1955000414058), np.float64(-250.02604021180485), np.float64(1.476760658742137), np.float64(-0.12347186790248088))"
43,"((1, 3), (3, 10), (7, 15))","(np.float64(0.13567933934611556), np.float64(0.056401778773970866), np.float64(0.12546362449665374))","(np.float64(-36.03494617658964), np.float64(-95.22005252335236), np.float64(-25.876978714351765))"
44,"((1, 11), (2, 15), (7, 12))","(np.float64(0.14878215477862988), np.float64(0.067615592570214), np.float64(0.12312445919146457))","(np.float64(62.413332661657165), np.float64(101.44845817047934), np.float64(-166.1471011045972))"
45,"((10, 13), (0, 5), (2, 10), (3, 12))","(np.float64(0.06412327159411431), np.float64(0.14951739174360718), np.float64(0.14352691869802114), np.float64(0.142756785489384))","(np.float64(-77.00872740435676), np.float64(85.82553395947434), np.float64(157.9982896390349), np.float64(43.1557000041831))"
46,"((1, 9), (10, 18))","(np.float64(0.13802855305585235), np.float64(0.14363824171243456))","(np.float64(-25.017560872413185), np.float64(-151.74892314879793))"
47,"((2, 3), (13, 15))","(np.float64(0.11783224017289197), np.float64(0.07178867462891417))","(np.float64(-59.51861698259478), np.float64(-100.07631731695079))"
48,"((7, 14),)","(np.float64(0.0865009088043355),)","(np.float64(184.72008550946202),)"
49,"((2, 6), (11, 15))","(np.float64(0.13488328030414012), np.float64(0.07929747133014631))","(np.float64(293.4539190793995), np.float64(-221.39611521320762))"
50,"((2, 8), (5, 14), (5, 16), (10, 18), (11, 15), (14, 16), (2, 13))","(np.float64(0.1371724830372568), np.float64(0.030864327461166137), np.float64(0.0864972819250221), np.float64(0.044363973643769934), np.float64(0.06340823988087052), np.float64(0.08134117411131454), np.float64(0.08295672850755204))","(np.float64(-138.0650587570007), np.float64(-40.48847887483686), np.float64(107.81150442178361), np.float64(-161.81951044233853), np.float64(-211.6563824967905), np.float64(104.7127049305316), np.float64(184.34348150869948))"
51,"((0, 15),)","(np.float64(0.1298659288094589),)","(np.float64(70.02046505707654),)"
52,"((2, 14), (8, 15), (3, 13), (7, 13))","(np.float64(0.1318733697798657), np.float64(0.08191614527929414), np.float64(0.11819265541690183), np.float64(0.12857652336406927))","(np.float64(169.2947271526226), np.float64(-63.83150795544299), np.float64(183.30203932703125), np.float64(-105.6879941460204))"
53,"((3, 7),)","(np.float64(0.07155794644052031),)","(np.float64(200.72046375464816),)"
54,"((4, 6),)","(np.float64(0.06825493727793498),)","(np.float64(-70.06203006132881),)"
55,"((0, 10), (8, 19), (10, 14))","(np.float64(0.08201682115231529), np.float64(0.10173703794315109), np.float64(0.13554177079878937))","(np.float64(180.29163275963668), np.float64(-123.53013435377142), np.float64(-93.72425879257301))"
