episode,los_id,los_dist,los_qdr
29,"((6, 14), (4, 6), (2, 9))","(np.float64(0.11205557598265699), np.float64(0.1263361040127794), np.float64(0.041847247734305065))","(np.float64(242.53899768459848), np.float64(-196.68972621902697), np.float64(24.100523747570378))"
30,"((12, 13), (4, 10), (11, 18))","(np.float64(0.1336923298612423), np.float64(0.1281673339075541), np.float64(0.13916445842847996))","(np.float64(-8.912385410174423), np.float64(206.30365879176503), np.float64(-6.032586368060464))"
31,"((1, 4), (1, 15), (3, 18), (6, 9), (6, 12), (4, 14), (6, 16), (0, 13), (7, 18), (11, 12))","(np.float64(0.11489350400232835), np.float64(0.10150787989646588), np.float64(0.08211014907227439), np.float64(0.09438779895510138), np.float64(0.14992549926597032), np.float64(0.14933148132142068), np.float64(0.14428003792200353), np.float64(0.14619475211602545), np.float64(0.14744593377002183), np.float64(0.14862786104285566))","(np.float64(203.16926363886688), np.float64(1.7128482762496446), np.float64(109.16322718337057), np.float64(7.885948425133449), np.float64(135.65572674042372), np.float64(-72.69374924509596), np.float64(136.35743532657597), np.float64(51.38847517375234), np.float64(115.17938506635528), np.float64(186.96393764494292))"
32,"((7, 9),)","(np.float64(0.13413008377646646),)","(np.float64(-2.8338895734547123),)"
33,"((9, 15),)","(np.float64(0.12081151775611733),)","(np.float64(-98.19677170077719),)"
34,"((2, 15), (2, 9))","(np.float64(0.13712015868957794), np.float64(0.12337736444265057))","(np.float64(187.82190291373962), np.float64(-343.2597200098671))"
35,"((7, 19), (14, 18), (2, 11))","(np.float64(0.12452624768005786), np.float64(0.14656555607225527), np.float64(0.13545393982771806))","(np.float64(90.15177731367888), np.float64(-81.96488580079445), np.float64(153.3656802101184))"
36,"((5, 10), (12, 14), (8, 11))","(np.float64(0.12582390106348953), np.float64(0.14980704451122312), np.float64(0.14447952490803087))","(np.float64(-69.44978998110406), np.float64(-24.720834624845445), np.float64(-34.35658121353151))"
37,"((2, 17), (6, 9))","(np.float64(0.08878220912195933), np.float64(0.10686812437858247))","(np.float64(85.18990746152954), np.float64(266.81748182636665))"
38,"((3, 17), (5, 7), (5, 8), (8, 11))","(np.float64(0.13532205064041658), np.float64(0.049118974014299835), np.float64(0.13766838510323162), np.float64(0.10533335699952952))","(np.float64(135.20670963409302), np.float64(-23.845365597600505), np.float64(185.39730176386044), np.float64(-134.64980104166912))"
39,"((3, 19), (6, 18), (7, 10), (0, 16), (2, 13))","(np.float64(0.024962081777370436), np.float64(0.08375430078262633), np.float64(0.11789880563318832), np.float64(0.14823179854330118), np.float64(0.14435914212043066))","(np.float64(37.63456589928654), np.float64(-273.1083819319818), np.float64(-43.17010739290626), np.float64(15.509935869237438), np.float64(236.4831190593299))"
40,"((4, 17), (6, 9), (1, 2))","(np.float64(0.11866021819100615), np.float64(0.14379546201407936), np.float64(0.1445113647967782))","(np.float64(-156.40881059897993), np.float64(-24.923571331269656), np.float64(-319.65313061408483))"
41,"((2, 4),)","(np.float64(0.0066020196779350525),)","(np.float64(-9.978914241168297),)"
42,"((3, 10), (4, 18), (1, 11))","(np.float64(0.13873247870370367), np.float64(0.0892280363012844), np.float64(0.1327240700809786))","(np.float64(193.275971699745), np.float64(28.614250758493398), np.float64(166.56341552451022))"
43,"((2, 14), (4, 18), (13, 19))","(np.float64(0.13588072586346653), np.float64(0.08685860583887606), np.float64(0.09387413372205304))","(np.float64(172.11907254388274), np.float64(71.43569120728387), np.float64(-169.48362246025982))"
44,"((0, 2), (1, 18), (10, 12), (3, 16), (8, 9))","(np.float64(0.13595602240201696), np.float64(0.0246804784840888), np.float64(0.07525731698395971), np.float64(0.011828052108112413), np.float64(0.14709993866981147))","(np.float64(-38.71476061795079), np.float64(120.8231007597584), np.float64(12.315253911374967), np.float64(262.73599523114143), np.float64(26.184554607100438))"
45,"((8, 16), (6, 19))","(np.float64(0.14898013687255177), np.float64(0.14710681463809672))","(np.float64(137.00662997930397), np.float64(136.1543567825831))"
46,"((2, 12), (4, 7), (5, 16), (8, 13), (9, 12), (9, 19), (12, 14))","(np.float64(0.13864699317065413), np.float64(0.07467923970876392), np.float64(0.13217618734770492), np.float64(0.05318882550018242), np.float64(0.12172846568277297), np.float64(0.02519585424209011), np.float64(0.14772829745654648))","(np.float64(129.4946525087871), np.float64(169.64921290094708), np.float64(-107.43901795842318), np.float64(-76.29780443449391), np.float64(-59.2784606740276), np.float64(28.622869350844724), np.float64(-23.045069865780405))"
47,"((0, 7), (0, 14), (0, 17), (7, 14), (7, 17), (14, 17), (4, 12), (5, 14))","(np.float64(0.03869654419176723), np.float64(0.12041969415548738), np.float64(0.07083948443678259), np.float64(0.13588533344856044), np.float64(0.10938715659214801), np.float64(0.12969964023112826), np.float64(0.1346223196260703), np.float64(0.11358773340105048))","(np.float64(187.44336991571782), np.float64(166.95538092073502), np.float64(30.410266085991594), np.float64(-20.48798899498277), np.float64(-157.0331038297262), np.float64(-136.54511483474346), np.float64(245.8379816588789), np.float64(139.98385860880677))"
48,"((1, 12),)","(np.float64(0.1417372663477935),)","(np.float64(186.54294052007037),)"
50,"((4, 6), (5, 12), (6, 19))","(np.float64(0.1222538457852499), np.float64(0.11238824422404042), np.float64(0.12433443813880304))","(np.float64(-50.30107260347029), np.float64(-80.91088407262302), np.float64(-150.26664801998703))"
51,"((1, 18), (3, 12), (9, 19))","(np.float64(0.11953717018362373), np.float64(0.07990945268549023), np.float64(0.05476649915032277))","(np.float64(-205.49786420910684), np.float64(189.21500968069194), np.float64(-80.387605963523))"
52,"((4, 10), (4, 12))","(np.float64(0.08561509531999174), np.float64(0.14531096024357154))","(np.float64(217.5890196562819), np.float64(193.2718286095845))"
53,"((6, 16), (18, 19), (6, 10))","(np.float64(0.03622209509829672), np.float64(0.10688234404716755), np.float64(0.13837812560054621))","(np.float64(-188.9015241599065), np.float64(-59.901693753126835), np.float64(-215.3655718053484))"
54,"((11, 18), (16, 17))","(np.float64(0.07798548361178839), np.float64(0.13523435448275875))","(np.float64(-81.49021153944679), np.float64(-177.66356075328176))"
55,"((2, 14),)","(np.float64(0.14543141854799543),)","(np.float64(217.3111978163891),)"
56,"((0, 10), (1, 3), (3, 13), (7, 13))","(np.float64(0.05290120175949442), np.float64(0.027116816143053887), np.float64(0.12886631697706907), np.float64(0.10247150451021314))","(np.float64(140.54844357247111), np.float64(52.35473172994014), np.float64(143.34456934785533), np.float64(-291.8801464838989))"
57,"((1, 8), (3, 6), (10, 14))","(np.float64(0.14934619316782316), np.float64(0.05710818867893836), np.float64(0.059592559119871734))","(np.float64(219.99207164942948), np.float64(-55.762934802425946), np.float64(-84.8696961198941))"
58,"((8, 14), (12, 19), (8, 11))","(np.float64(0.06791592070935366), np.float64(0.1444445001642236), np.float64(0.13662246695139876))","(np.float64(186.07811808136762), np.float64(-57.28342926718801), np.float64(187.6907853783502))"
59,"((3, 10), (5, 13), (9, 11), (3, 17))","(np.float64(0.11061197259337989), np.float64(0.09084343766968582), np.float64(0.021596795823766425), np.float64(0.1344939236691457))","(np.float64(159.2249397856658), np.float64(147.87280649294496), np.float64(22.39891937586205), np.float64(127.27230382256471))"
60,"((5, 19), (13, 18))","(np.float64(0.006769768074146429), np.float64(0.11732461472382229))","(np.float64(-133.91365392880581), np.float64(-2.757251411642727))"
