episode,los_id,los_dist,los_qdr
4091,"((3, 14), (4, 16), (6, 11), (0, 9))","(np.float64(0.07664780997669123), np.float64(0.0465562730239523), np.float64(0.08088260956458686), np.float64(0.14758737309489514))","(np.float64(230.47115178522932), np.float64(-29.99934630566014), np.float64(283.97223753527015), np.float64(-94.13003272236864))"
4093,"((11, 13), (12, 14))","(np.float64(0.13609081127643355), np.float64(0.10907941161686047))","(np.float64(-34.33473938688263), np.float64(-47.96005197909636))"
4094,"((4, 9), (5, 17), (12, 18), (3, 12))","(np.float64(0.14075252059899576), np.float64(0.10218986810480397), np.float64(0.1369817251286325), np.float64(0.1489859949358371))","(np.float64(153.4421587313359), np.float64(8.665453448917106), np.float64(-70.82768423269565), np.float64(94.0251552919292))"
4095,"((3, 6),)","(np.float64(0.09385292154026077),)","(np.float64(-80.01315749146335),)"
4096,"((3, 14), (7, 10))","(np.float64(0.06632903565722417), np.float64(0.1495862490579403))","(np.float64(210.58573853289556), np.float64(-74.65748019162521))"
4097,"((9, 14), (13, 16))","(np.float64(0.09980392282370866), np.float64(0.07756833757859947))","(np.float64(221.34637788455416), np.float64(-70.37396731526684))"
4098,"((0, 7), (3, 8), (12, 18))","(np.float64(0.08791562024762414), np.float64(0.10605426220950405), np.float64(0.07757938924905353))","(np.float64(-94.50409733634709), np.float64(-82.73488586932626), np.float64(-183.38033146828775))"
4099,"((3, 7), (11, 17), (0, 10), (9, 16), (10, 15))","(np.float64(0.13754286027958854), np.float64(0.05151931454268507), np.float64(0.08457378281169702), np.float64(0.1361012383116394), np.float64(0.11809654576170532))","(np.float64(13.564086250811613), np.float64(-156.6897854840409), np.float64(232.1238230438891), np.float64(85.57641548667439), np.float64(-171.76291863802408))"
4100,"((12, 14), (12, 17), (14, 17), (13, 17), (13, 16), (1, 8))","(np.float64(0.10749909824795623), np.float64(0.08647152181538349), np.float64(0.02490447503107435), np.float64(0.09353969811777785), np.float64(0.1135854134065681), np.float64(0.13103684336472088))","(np.float64(-101.80204675112333), np.float64(-148.62975866093007), np.float64(-46.82771190980674), np.float64(-147.76278306976758), np.float64(-167.47350219467342), np.float64(309.3854753191402))"
4101,"((2, 7), (16, 18))","(np.float64(0.12188158127144369), np.float64(0.09783312064874128))","(np.float64(273.8212498771787), np.float64(-95.53389440418007))"
4102,"((1, 3), (1, 10), (2, 13), (6, 18))","(np.float64(0.13379441253378616), np.float64(0.12882038017838968), np.float64(0.14843418410483006), np.float64(0.1366464272749929))","(np.float64(-89.26563183348725), np.float64(223.99911289383), np.float64(226.4816003519888), np.float64(-207.42694214892674))"
4103,"((7, 18), (11, 19))","(np.float64(0.14908041620862378), np.float64(0.1253371766689069))","(np.float64(-166.64041145801144), np.float64(-48.50493677639443))"
4104,"((5, 10), (7, 18), (8, 15))","(np.float64(0.11995401249588816), np.float64(0.01920682079695559), np.float64(0.14051654013545592))","(np.float64(-15.502950662389594), np.float64(-183.5878511732497), np.float64(-194.26823814635952))"
4105,"((4, 16),)","(np.float64(0.11390390484620942),)","(np.float64(189.9438199813797),)"
4106,"((4, 17), (5, 14), (8, 15))","(np.float64(0.03304921730383674), np.float64(0.028814131899344547), np.float64(0.029905512868629122))","(np.float64(136.381800640701), np.float64(188.8996273126756), np.float64(164.8471183037575))"
4108,"((1, 7),)","(np.float64(0.059901448460080255),)","(np.float64(193.75242741852063),)"
4109,"((4, 14),)","(np.float64(0.11680763460393695),)","(np.float64(-138.19501252895571),)"
4110,"((1, 4), (1, 17), (4, 17), (8, 18))","(np.float64(0.082387846731035), np.float64(0.074339365740004), np.float64(0.10906881879060984), np.float64(0.048296968465953084))","(np.float64(-88.46675876461464), np.float64(36.74319642587119), np.float64(125.20995519048583), np.float64(81.46740830924989))"
4112,"((2, 4), (9, 10))","(np.float64(0.10819061937984763), np.float64(0.10257922956807412))","(np.float64(-93.95870110272679), np.float64(34.23011054637226))"
4113,"((5, 14),)","(np.float64(0.07712425796583097),)","(np.float64(183.6401046665493),)"
4114,"((16, 18),)","(np.float64(0.12728001814312292),)","(np.float64(-30.559901176491053),)"
4115,"((3, 9),)","(np.float64(0.09389736375586616),)","(np.float64(-162.8650232759433),)"
4116,"((7, 17), (16, 19), (1, 11))","(np.float64(0.04746848078765186), np.float64(0.12152853302232675), np.float64(0.14895563893306463))","(np.float64(150.56790382556113), np.float64(-90.45707593670414), np.float64(161.0568400179991))"
4117,"((1, 19),)","(np.float64(0.11106809686080482),)","(np.float64(33.33495977420918),)"
4119,"((3, 4),)","(np.float64(0.14555321677484362),)","(np.float64(-54.77776948057135),)"
4120,"((1, 18), (6, 14), (8, 14))","(np.float64(0.09092136608982038), np.float64(0.1220109523224992), np.float64(0.05743233786854736))","(np.float64(78.4204451095535), np.float64(-143.16756079294424), np.float64(-209.1134647493326))"
4121,"((12, 18), (6, 15))","(np.float64(0.12510927699691857), np.float64(0.14817430847602187))","(np.float64(-120.10300567937338), np.float64(-200.75475069818))"
4122,"((1, 14), (4, 11))","(np.float64(0.1450732432960118), np.float64(0.11942316572680639))","(np.float64(121.09404370183762), np.float64(118.30741634342917))"
4123,"((3, 6),)","(np.float64(0.1424190088195673),)","(np.float64(307.9631355372678),)"
4124,"((3, 16), (3, 17), (16, 17), (13, 17))","(np.float64(0.11995521391901501), np.float64(0.11621349984125631), np.float64(0.07677031889527802), np.float64(0.13751611613033138))","(np.float64(-272.17967386059473), np.float64(-318.13843481916314), np.float64(-45.958760958568405), np.float64(-198.72359224074927))"
4126,"((11, 18),)","(np.float64(0.04894127537169438),)","(np.float64(-190.08508831626432),)"
4127,"((4, 10), (9, 10), (2, 10))","(np.float64(0.1050346983062027), np.float64(0.13757304776565404), np.float64(0.12899788002311519))","(np.float64(221.21339587071162), np.float64(-2.114054522867775), np.float64(174.9739238286531))"
