episode,los_id,los_dist,los_qdr
47,"((0, 9), (0, 16), (4, 16), (0, 4))","(np.float64(0.12903427418143618), np.float64(0.04762530266481494), np.float64(0.12560040854059365), np.float64(0.12349202559875165))","(np.float64(147.1031495186528), np.float64(22.76523474620096), np.float64(38.37344088623776), np.float64(257.80083291467827))"
48,"((0, 4),)","(np.float64(0.13326386075327318),)","(np.float64(174.18388910393463),)"
49,"((3, 8), (6, 13), (15, 16), (3, 16), (4, 7), (4, 19), (3, 13))","(np.float64(0.11580051153430738), np.float64(0.061486077875439), np.float64(0.05135555176400785), np.float64(0.04644142266531802), np.float64(0.1479233101803838), np.float64(0.11175604184424016), np.float64(0.1442688932657599))","(np.float64(192.99870164387536), np.float64(23.98799763648172), np.float64(67.39923541788767), np.float64(229.38220166366366), np.float64(196.6441377101668), np.float64(313.4879889389218), np.float64(286.5203260423079))"
50,"((5, 7), (9, 15), (15, 18))","(np.float64(0.14232826343260047), np.float64(0.10695426539227398), np.float64(0.14339063901996976))","(np.float64(165.60222078716404), np.float64(159.64535714658584), np.float64(103.40371922892075))"
51,"((7, 8),)","(np.float64(0.1405600311155234),)","(np.float64(148.74463057675445),)"
52,"((1, 13),)","(np.float64(0.13681246760265142),)","(np.float64(216.92365368427878),)"
53,"((12, 19),)","(np.float64(0.08270364198597986),)","(np.float64(152.28394039456893),)"
54,"((0, 18), (1, 10), (2, 14), (11, 14), (11, 19))","(np.float64(0.0171600780905821), np.float64(0.07386861050870946), np.float64(0.13645866326860617), np.float64(0.11582909950660249), np.float64(0.11630480278087181))","(np.float64(220.95950321351503), np.float64(84.41364899364606), np.float64(227.50862693039434), np.float64(196.0399339309153), np.float64(158.3460109899691))"
55,"((6, 9), (12, 19), (3, 10))","(np.float64(0.11809977590684614), np.float64(0.09817880221448624), np.float64(0.14769240542084058))","(np.float64(51.84475020104586), np.float64(153.4618356013903), np.float64(234.92187518335476))"
56,"((0, 12), (5, 15), (5, 16), (6, 11), (15, 16))","(np.float64(0.12742836676829403), np.float64(0.11088207482507079), np.float64(0.09751074342348147), np.float64(0.11771089592365716), np.float64(0.08693905609196799))","(np.float64(199.08720144828686), np.float64(256.3595819307326), np.float64(207.56385691065373), np.float64(188.99101062206114), np.float64(133.90922479210744))"
57,"((1, 18), (0, 8))","(np.float64(0.14995459255533164), np.float64(0.14938475936764445))","(np.float64(323.2037821242944), np.float64(256.4969830448027))"
58,"((4, 5), (4, 17), (12, 14))","(np.float64(0.08515353415452295), np.float64(0.12328082571939472), np.float64(0.10171269986223182))","(np.float64(55.803710462532045), np.float64(155.35420310761268), np.float64(303.01708442369033))"
59,"((2, 7),)","(np.float64(0.11832995032014929),)","(np.float64(102.01289968651082),)"
60,"((1, 15),)","(np.float64(0.09298823497052226),)","(np.float64(237.9444542500422),)"
61,"((6, 15), (8, 19), (10, 17), (6, 17), (7, 18))","(np.float64(0.05834760171580899), np.float64(0.14224647597447854), np.float64(0.13421161005684695), np.float64(0.11401163132390833), np.float64(0.1284645258565616))","(np.float64(65.43277075794707), np.float64(314.6384412561982), np.float64(216.64003937578906), np.float64(320.1227239919841), np.float64(89.29121273742936))"
62,"((1, 12),)","(np.float64(0.12806468105905655),)","(np.float64(252.01516427188312),)"
64,"((10, 19),)","(np.float64(0.07009210179740673),)","(np.float64(187.3995289434144),)"
65,"((1, 7), (2, 16), (6, 10), (7, 13), (15, 18), (17, 18), (2, 7), (8, 19))","(np.float64(0.13851266092714543), np.float64(0.13334588390378144), np.float64(0.06917987293649658), np.float64(0.1484818173497093), np.float64(0.1452425160454071), np.float64(0.11321290330155517), np.float64(0.1039276956320103), np.float64(0.08358518331764209))","(np.float64(77.65390818713324), np.float64(97.02038776727291), np.float64(130.25284461537765), np.float64(61.574319289388455), np.float64(27.80741997031148), np.float64(260.0556078689514), np.float64(251.55895900551283), np.float64(153.7963154328811))"
66,"((2, 13), (7, 15), (2, 11))","(np.float64(0.09340170103592772), np.float64(0.11395094145569566), np.float64(0.13751670928334975))","(np.float64(257.62182436935933), np.float64(175.42479132410907), np.float64(263.906099108396))"
68,"((0, 4), (10, 18))","(np.float64(0.11061412857549467), np.float64(0.11863240461212207))","(np.float64(2.3674274279227294), np.float64(49.60551178175426))"
69,"((0, 17),)","(np.float64(0.10478504755458591),)","(np.float64(316.4072597293965),)"
70,"((0, 15), (12, 19), (3, 19))","(np.float64(0.08848563176956473), np.float64(0.140312284749878), np.float64(0.106231281800088))","(np.float64(116.0381717902677), np.float64(83.35698185362914), np.float64(25.523979076391885))"
71,"((1, 9), (3, 12), (6, 7))","(np.float64(0.10894412713783223), np.float64(0.09266932158453417), np.float64(0.13117043911276813))","(np.float64(108.55354828995391), np.float64(94.45529120682511), np.float64(218.8930885841583))"
72,"((0, 8),)","(np.float64(0.1375888879077066),)","(np.float64(160.5454889066515),)"
73,"((9, 17), (5, 15))","(np.float64(0.1347932789292432), np.float64(0.13767453442824354))","(np.float64(309.673589617919), np.float64(325.1717213980292))"
74,"((0, 11), (2, 12), (2, 8))","(np.float64(0.041540716937029), np.float64(0.06272407384282713), np.float64(0.13393027442252767))","(np.float64(333.5714016951892), np.float64(31.511488149301496), np.float64(152.1315459837204))"
78,"((2, 9), (5, 10), (6, 10))","(np.float64(0.12649666455489625), np.float64(0.039331508350061446), np.float64(0.13361221152624267))","(np.float64(113.13880474970159), np.float64(200.58210527812741), np.float64(87.5299926285352))"
81,"((11, 16), (13, 18), (13, 17))","(np.float64(0.04546915175099497), np.float64(0.05912895128720961), np.float64(0.05652885157141325))","(np.float64(326.26422716784964), np.float64(241.53186078767243), np.float64(56.407919979845055))"
82,"((12, 17),)","(np.float64(0.13389698394967234),)","(np.float64(80.41654831723422),)"
83,"((12, 15),)","(np.float64(0.06460464372092159),)","(np.float64(274.66135686903567),)"
84,"((9, 19), (18, 19), (3, 18))","(np.float64(0.14007649414995885), np.float64(0.10104970774737228), np.float64(0.14571397185192106))","(np.float64(288.62482598787403), np.float64(144.06094060272164), np.float64(133.8856381302839))"
85,"((0, 10), (10, 12))","(np.float64(0.14575827859714405), np.float64(0.14143350343909805))","(np.float64(338.5394209629716), np.float64(328.5439676024477))"
86,"((0, 16), (6, 17), (10, 15), (12, 13), (14, 19))","(np.float64(0.1202966425215418), np.float64(0.06681270093218739), np.float64(0.11300274136635957), np.float64(0.0765514703650627), np.float64(0.05029898958615226))","(np.float64(145.62986511098705), np.float64(265.76556729335346), np.float64(217.80800481799687), np.float64(101.40969457120052), np.float64(95.03952752447721))"
87,"((4, 15),)","(np.float64(0.0973476896432594),)","(np.float64(144.76280391952878),)"
88,"((0, 5), (10, 13))","(np.float64(0.14423443153248305), np.float64(0.03712992354644858))","(np.float64(122.3268171478582), np.float64(241.77650671570825))"
89,"((1, 14), (1, 6))","(np.float64(0.1118272849412323), np.float64(0.07138114415594748))","(np.float64(258.66889002757864), np.float64(197.49858305045598))"
91,"((0, 5), (3, 19), (7, 16))","(np.float64(0.10006230672066296), np.float64(0.13124857838909523), np.float64(0.014913131085148652))","(np.float64(238.29379278919805), np.float64(15.811753211940148), np.float64(298.7195685640597))"
