episode,los_id,los_dist,los_qdr
2461,"((11, 17), (12, 17), (7, 12), (2, 14), (14, 19), (16, 19))","(np.float64(0.0875321558319201), np.float64(0.053473377205401615), np.float64(0.08005077920191248), np.float64(0.14819793438174952), np.float64(0.1469226714358742), np.float64(0.038907460171720754))","(np.float64(222.21064939311918), np.float64(34.0779229179322), np.float64(45.57322292596135), np.float64(179.42699390770244), np.float64(354.648897523974), np.float64(75.23944148339577))"
2462,"((7, 9), (6, 15))","(np.float64(0.048679045128926915), np.float64(0.13502587180521042))","(np.float64(298.37830328201613), np.float64(13.016511221562917))"
2463,"((1, 15), (2, 3), (8, 9), (2, 12))","(np.float64(0.10790144836684941), np.float64(0.024489885386732073), np.float64(0.14788921766628765), np.float64(0.1375980513824435))","(np.float64(233.41710306978678), np.float64(314.3469069884289), np.float64(292.932260311294), np.float64(206.9230419335396))"
2464,"((7, 11),)","(np.float64(0.14952078343168407),)","(np.float64(76.33839009751952),)"
2465,"((8, 12), (9, 17), (4, 12), (11, 12), (11, 13))","(np.float64(0.08158725667731935), np.float64(0.08849905806501307), np.float64(0.13372782115348628), np.float64(0.13755199504842214), np.float64(0.14721847827339468))","(np.float64(36.24020500722131), np.float64(110.28090851253175), np.float64(138.60805234613315), np.float64(303.2431729670938), np.float64(86.59829701101748))"
2466,"((14, 18),)","(np.float64(0.0972701291679351),)","(np.float64(23.92257762835135),)"
2467,"((0, 16), (2, 8), (12, 18), (0, 5), (1, 11))","(np.float64(0.06810179085738523), np.float64(0.11634964083799874), np.float64(0.08582503854941438), np.float64(0.13592199674494196), np.float64(0.13951215345911736))","(np.float64(285.6331021012844), np.float64(227.90742758611245), np.float64(278.6809949317759), np.float64(120.15347385294177), np.float64(354.0815839437453))"
2468,"((12, 19),)","(np.float64(0.1391864437404643),)","(np.float64(194.93892095910812),)"
2469,"((16, 18), (17, 18), (7, 8))","(np.float64(0.10007530692351194), np.float64(0.12500236190441322), np.float64(0.10005638178379067))","(np.float64(118.14371554280068), np.float64(14.88556882090222), np.float64(220.6514672628995))"
2470,"((15, 17),)","(np.float64(0.1346740253070888),)","(np.float64(137.60442610140888),)"
2471,"((0, 9), (0, 10), (9, 10), (10, 18))","(np.float64(0.12135604772311857), np.float64(0.1275986594470411), np.float64(0.14141933817086502), np.float64(0.14322058211278588))","(np.float64(92.68750580949241), np.float64(161.8634616527451), np.float64(215.1937306750525), np.float64(82.85752861417838))"
2472,"((9, 14), (9, 19), (0, 12))","(np.float64(0.1082118578744451), np.float64(0.11119827449703756), np.float64(0.1310416369494958))","(np.float64(88.08735783727398), np.float64(268.1932265138929), np.float64(270.7165167960659))"
2473,"((1, 15),)","(np.float64(0.0723475027882753),)","(np.float64(187.55389422894507),)"
2474,"((1, 8), (16, 17))","(np.float64(0.12300393186303642), np.float64(0.14596540131011493))","(np.float64(67.22174794558123), np.float64(335.87892075257855))"
2475,"((8, 11),)","(np.float64(0.07952138169306217),)","(np.float64(55.16129429733414),)"
2476,"((2, 5), (4, 9), (1, 4), (8, 11))","(np.float64(0.09649649384063544), np.float64(0.015999074424935755), np.float64(0.12670197561242033), np.float64(0.1429003091162975))","(np.float64(291.8147039312903), np.float64(160.98152988895538), np.float64(178.18139153155863), np.float64(25.7184207094038))"
2478,"((2, 9), (6, 15), (1, 15))","(np.float64(0.06703311709277711), np.float64(0.12390600589417831), np.float64(0.10971773641167129))","(np.float64(219.36593500322155), np.float64(64.54240940602317), np.float64(268.4676318840567))"
2479,"((1, 15), (2, 8), (9, 12), (10, 17), (10, 15), (14, 16))","(np.float64(0.03048792792589968), np.float64(0.0764901300319063), np.float64(0.03457210087752609), np.float64(0.06881379483655385), np.float64(0.13441470859415885), np.float64(0.14255706476164537))","(np.float64(174.37009863416324), np.float64(109.95606687196364), np.float64(300.57618183716784), np.float64(171.240573319343), np.float64(296.9504078759839), np.float64(197.1619432011862))"
2480,"((3, 13), (5, 8), (10, 11), (6, 7), (7, 13))","(np.float64(0.06794366766131978), np.float64(0.11381809728762517), np.float64(0.11999280436117828), np.float64(0.1494793463580292), np.float64(0.1467561701407397))","(np.float64(346.9510351767283), np.float64(300.3700138833486), np.float64(21.60585496076413), np.float64(200.47996100537307), np.float64(263.4413044102507))"
2481,"((5, 11), (6, 13))","(np.float64(0.049895917278401515), np.float64(0.12554032697266443))","(np.float64(353.3478300411985), np.float64(37.40530001165034))"
2482,"((3, 9), (6, 7))","(np.float64(0.09348559097030773), np.float64(0.09715262150475878))","(np.float64(312.11515160320585), np.float64(129.13183321333028))"
2483,"((1, 4), (7, 12), (16, 17), (7, 11))","(np.float64(0.007175778692460347), np.float64(0.10387090622241477), np.float64(0.12835248472695712), np.float64(0.13952161827268555))","(np.float64(198.8476264983766), np.float64(24.150016044082594), np.float64(215.4508972503745), np.float64(136.55275327351643))"
2484,"((1, 12), (4, 16), (8, 10), (10, 19), (3, 10))","(np.float64(0.12837347550283765), np.float64(0.07677444359713669), np.float64(0.008656940154522758), np.float64(0.14937053456160576), np.float64(0.14100256040741693))","(np.float64(264.62219076172573), np.float64(309.39045867702697), np.float64(243.9711807436063), np.float64(289.21613663354674), np.float64(321.73998978514527))"
