episode,los_id,los_dist,los_qdr
3910,"((5, 15), (2, 10), (1, 13), (1, 12), (0, 7))","(np.float64(0.11500881815321205), np.float64(0.1216870703216259), np.float64(0.13752714076927755), np.float64(0.13737767747459695), np.float64(0.11028009859481305))","(np.float64(248.18673265010312), np.float64(35.81375152567997), np.float64(22.732063560632845), np.float64(251.81501262886803), np.float64(269.3683298994766))"
3912,"((1, 11), (2, 4), (2, 6), (11, 16))","(np.float64(0.12776696572468488), np.float64(0.1350626059784366), np.float64(0.12265626179644236), np.float64(0.14002507600421418))","(np.float64(314.00388231927457), np.float64(12.76655843290665), np.float64(226.26729921363824), np.float64(67.18357440273383))"
3913,"((7, 19), (8, 19), (0, 3))","(np.float64(0.11135060060694228), np.float64(0.11929902028700498), np.float64(0.1393242287865049))","(np.float64(293.619316040177), np.float64(318.14475640306614), np.float64(127.88413811438484))"
3914,"((2, 17), (10, 19), (5, 14))","(np.float64(0.09232098839135663), np.float64(0.12105329509481179), np.float64(0.1356085506164872))","(np.float64(348.6939266645058), np.float64(231.82191221043306), np.float64(289.24376415434756))"
3915,"((0, 8), (8, 17), (0, 15), (0, 12))","(np.float64(0.1299316238196496), np.float64(0.10788135962903025), np.float64(0.14925062616297718), np.float64(0.11856119551148854))","(np.float64(25.21740822614992), np.float64(35.3125436763275), np.float64(187.93688176248293), np.float64(315.35164367532485))"
3916,"((0, 5), (2, 13))","(np.float64(0.06321429254563699), np.float64(0.14554271639392466))","(np.float64(66.2999166771163), np.float64(197.58931801973665))"
3917,"((13, 17),)","(np.float64(0.13943692804304755),)","(np.float64(84.03131952053026),)"
3918,"((6, 14), (6, 16), (17, 19), (2, 7))","(np.float64(0.1370217254196012), np.float64(0.12979773904041333), np.float64(0.1469751887072895), np.float64(0.1301335014355353))","(np.float64(170.9268370745664), np.float64(304.52258813026737), np.float64(229.09694643959872), np.float64(297.4798663175261))"
3919,"((0, 8), (16, 17), (16, 19))","(np.float64(0.08733408102823653), np.float64(0.14873601720210208), np.float64(0.11732386376993773))","(np.float64(26.291998877783307), np.float64(291.03383342365476), np.float64(164.76372419534093))"
3920,"((7, 15),)","(np.float64(0.14692207784792014),)","(np.float64(239.43070385638612),)"
3922,"((3, 19), (6, 16))","(np.float64(0.10903788491385144), np.float64(0.1482518733776571))","(np.float64(286.0781003716081), np.float64(284.84754155987036))"
3923,"((7, 15), (10, 12), (10, 19), (12, 19), (3, 11))","(np.float64(0.1316841764886801), np.float64(0.05327932269660274), np.float64(0.06183382532511855), np.float64(0.10776323603631512), np.float64(0.11431139897163177))","(np.float64(123.28766674744149), np.float64(29.974760931118066), np.float64(221.46767273598513), np.float64(200.93758201805895), np.float64(148.3625824898365))"
3924,"((1, 14),)","(np.float64(0.10888190842196575),)","(np.float64(184.1501493403437),)"
3925,"((1, 6), (9, 18))","(np.float64(0.04580828211568871), np.float64(0.11294859073266283))","(np.float64(105.58548320157446), np.float64(228.1921542773792))"
3926,"((1, 7), (10, 11))","(np.float64(0.12900953297117937), np.float64(0.14269754670474333))","(np.float64(33.13418739357928), np.float64(41.14139209320435))"
3927,"((1, 19), (10, 17))","(np.float64(0.12968411770301816), np.float64(0.12133169663400958))","(np.float64(55.900647311640206), np.float64(345.14842903126294))"
3929,"((2, 16), (5, 10))","(np.float64(0.14108206774711787), np.float64(0.13228811795339018))","(np.float64(142.93234706464528), np.float64(253.79050823666594))"
3930,"((3, 10), (10, 14))","(np.float64(0.1373282720683274), np.float64(0.14988181331441608))","(np.float64(17.569704829523417), np.float64(228.0441558972225))"
3931,"((3, 8),)","(np.float64(0.13812260969173829),)","(np.float64(0.8244928349692938),)"
3933,"((1, 2), (1, 13))","(np.float64(0.13355710332044857), np.float64(0.12512534814961127))","(np.float64(342.9456470492122), np.float64(146.38404819316864))"
3934,"((0, 5), (5, 8), (0, 8), (2, 18))","(np.float64(0.09707177391586164), np.float64(0.13580142985773339), np.float64(0.14244104715110809), np.float64(0.13548584195330837))","(np.float64(183.21715864219664), np.float64(150.762252946248), np.float64(237.8967661042629), np.float64(205.6702704660892))"
3935,"((1, 19), (1, 16), (17, 19))","(np.float64(0.04466513477714313), np.float64(0.11153765658138626), np.float64(0.13784757198948888))","(np.float64(218.2046130395401), np.float64(359.3651312301901), np.float64(57.34405662762695))"
3936,"((5, 16), (6, 16), (5, 7))","(np.float64(0.08778073771958117), np.float64(0.10836288069943845), np.float64(0.14618987859947652))","(np.float64(227.9038957891716), np.float64(351.83106342081265), np.float64(249.30682198262178))"
3937,"((4, 18),)","(np.float64(0.09558583663450725),)","(np.float64(50.632346437073664),)"
3938,"((5, 12), (1, 14))","(np.float64(0.13994391585140992), np.float64(0.14690585350600055))","(np.float64(165.42911462333132), np.float64(257.2993477257654))"
3939,"((2, 6), (0, 10))","(np.float64(0.1413230808466105), np.float64(0.14385787851939))","(np.float64(177.67736560998364), np.float64(354.839962357585))"
3941,"((2, 9), (8, 11), (13, 14), (13, 15), (8, 17), (5, 8), (0, 8), (11, 15))","(np.float64(0.13346963191678987), np.float64(0.13982836861811507), np.float64(0.131018191504885), np.float64(0.11773266070382499), np.float64(0.08727398294593919), np.float64(0.09378107202447233), np.float64(0.05952076045543505), np.float64(0.14391028424543187))","(np.float64(97.36937307545567), np.float64(189.18066994484963), np.float64(126.44461852278616), np.float64(27.849265913814534), np.float64(116.26389717171932), np.float64(324.04823305825124), np.float64(333.5747994802235), np.float64(36.99751165294333))"
3942,"((8, 14),)","(np.float64(0.14525065826944106),)","(np.float64(142.3362849446631),)"
3943,"((4, 5),)","(np.float64(0.12449912425227672),)","(np.float64(143.58201424188294),)"
3944,"((5, 17), (11, 14), (11, 15), (14, 15))","(np.float64(0.09685786615339005), np.float64(0.10673008838791294), np.float64(0.09913900231681869), np.float64(0.024005797409832275))","(np.float64(216.0371831055245), np.float64(272.73939332671006), np.float64(260.0282852003588), np.float64(158.06567572116617))"
3946,"((4, 7), (14, 19))","(np.float64(0.1411733247599657), np.float64(0.14463568002814284))","(np.float64(199.72852988138436), np.float64(277.71521600040586))"
3947,"((3, 16), (14, 19), (12, 19), (8, 18))","(np.float64(0.14533613117047578), np.float64(0.14588456761017682), np.float64(0.14216511830476705), np.float64(0.14460197685577175))","(np.float64(136.35925753563413), np.float64(49.18451256738744), np.float64(113.18015493087715), np.float64(133.3516556091729))"
3948,"((2, 14), (3, 12), (1, 16), (10, 14))","(np.float64(0.07417062734924683), np.float64(0.12791292024127174), np.float64(0.147717054820483), np.float64(0.14189324132479988))","(np.float64(205.23065150687705), np.float64(85.89386286457305), np.float64(34.82614462098424), np.float64(315.7250007401237))"
3949,"((1, 17), (10, 17), (3, 13))","(np.float64(0.042736062283583565), np.float64(0.1088880690942248), np.float64(0.12644837088420258))","(np.float64(70.13863080942838), np.float64(258.30090802349713), np.float64(292.12605834683956))"
