episode,tot_reward,tot_intrusions,tot_drift,hdg_in,spd_in
0,-16.93246471319821,12,0.020050669565846415,0.0003750313811640187,-1.986340175322077
1,-7.675448669461856,2,0.01879287638894653,0.0002753999158632109,-1.7630425470218136
2,-12.221829670766498,2,0.03384711811512082,0.03020067326177146,-1.9051827965826198
3,-21.376289752863972,10,0.03766983361875476,0.0008585565351874919,-1.6292651340408584
4,-11.821548468874775,6,0.019276650559187983,-0.0006500873639323865,-1.3152288650088506
5,-8.651893975036128,2,0.02202613899018589,0.0008743444345860637,-2.557119300958102
6,-5.410338206422596,0,0.01791502717358477,0.0012561698599922045,-1.9505114700689925
7,-7.802517873188949,0,0.025836151897976684,0.003283567024901392,-2.214128816782787
8,-31.116640263834743,14,0.05667761676766469,0.23292314333687783,-1.4485416729951475
9,-10.03920002419219,4,0.019997351073484094,0.0013993545068390913,-2.041849837165221
10,-43.613702323020384,34,0.031833451400729774,-0.0012926754322741798,-1.5163955250754952
11,-30.57716418910957,22,0.028401205924203893,-0.0014473581177780763,-1.956394229929228
12,-12.623180485941935,6,0.021931061211728227,0.0025945956362542445,-2.139636903864641
13,-8.705449926877703,0,0.028825993135356727,-0.0004392374183563207,-2.0225413197402196
14,-48.71289140432155,16,0.10832083246464054,0.8132139163656894,-1.6716056618025366
15,-21.56429908505359,12,0.03166986452004515,-0.0030087685750624696,-1.4525268366445467
16,-10.634853316446977,4,0.028598505674340382,-0.002800157782822398,-1.5410011953073113
17,-8.646752984913821,2,0.022009115844085395,0.001894761388119162,-1.7447511051292686
18,-7.112934860282119,2,0.01693024788172886,-0.00032059314309169126,-1.7965561824021954
19,-11.313330093468613,6,0.017593808256518607,0.00028441790244634576,-2.2307716082359064
20,-21.25169499282418,4,0.05789159393565147,0.3548182704214057,-2.164984009612427
21,-12.752559261093491,2,0.03560450086454798,0.13559215848078945,-2.030912128304492
22,-7.595988251062193,2,0.01852976242073574,0.0009630361649004236,-2.117391339529133
23,-24.140953079822108,14,0.03357931483384812,0.0032114935233581517,-1.35758174726684
24,-9.954278553035387,4,0.019716154149123824,-0.0007944812221816488,-1.8917344788272883
25,-25.26147817438863,16,0.030667146272810017,0.0004218552344854896,-2.177646856255126
26,-7.4518380733549545,2,0.01805244395150648,0.0003700456563506695,-2.233452664256375
27,-27.717116128161326,16,0.03879839777536863,0.0009839434070290614,-1.9766971331452088
28,-13.107046333647872,6,0.024677244214054976,-0.0008122262991997154,-1.4637820837323792
29,-18.683592649679213,10,0.028753618045295245,0.0016213545669795367,-1.4292725332866159
30,-9.921648976627708,2,0.026230625750422825,0.0013397360338701478,-1.7476697508566235
31,-12.442869858676305,6,0.024404810070743622,0.004870293489798452,-1.871767761573596
32,-23.354893767666155,12,0.03759898598564946,-0.0005909389749921809,-2.1080165109934637
33,-26.433953920124722,2,0.08090713218584333,0.5190240445070351,-2.18612397952878
34,-9.797835797486682,2,0.025820648336048555,0.05126701392532505,-1.3061449587448433
35,-13.60053263959173,0,0.045034876290038814,-0.06803602208136673,-2.3406609824920284
36,-42.40640435151467,12,0.1006834581175982,0.715896872172459,-2.247504489685159
37,-11.970667790730753,4,0.026392939704406513,0.0011569860203203973,-2.242768357169278
38,-20.23565215078864,10,0.03389288791651838,-0.0019022083463492675,-1.4509840726136964
39,-14.683002488595028,8,0.022129147313228625,0.0005584882825554429,-2.3607827570033413
40,-21.416278284442008,12,0.032695410709868276,-0.03904542466083916,-1.7642693544491421
41,-8.813064594365743,0,0.02918233309392636,-0.005910317236187541,-1.864495581334005
42,-15.97404720433596,10,0.019781613259390516,0.00047985058176078346,-2.1399252792178123
43,-24.768761862051534,0,0.0820157677551375,0.48536353551764166,-2.350430294610899
44,-20.234615583395666,8,0.04432831733114378,0.23975419992972435,-1.6568535514563942
45,-48.23144986530206,2,0.15308427107715902,1.2932882374935069,-2.5388200284947104
46,-18.414950439847953,0,0.06097665708558926,0.012340907372429424,-2.2482743326846713
47,-32.5877507002594,22,0.03505877715317655,0.00180714170131231,-1.7638647433299617
48,-18.10092151645626,8,0.03344675998826575,0.0024134581289500835,-1.6363551370187397
49,-9.335720580838322,0,0.030912982055756072,-0.0009973114507121732,-2.1684744116045795
50,-11.273914576182964,4,0.02408580985491045,0.001044368251559898,-1.9176482969753148
51,-12.555523070031002,4,0.028329546589506597,0.0014106172331244937,-1.7973391124350326
52,-5.997944155682051,2,0.01784796498072346,0.0012461367395839521,-1.8174426748015842
53,-11.126147678596741,4,0.023596515492042145,0.0027821323846695042,-1.942923269418395
54,-40.630819392208934,26,0.04844642182850676,0.1291264678721643,-1.8439403460936201
55,-19.57944666973209,10,0.03172002208520556,0.000324338263005561,-2.036297262293928
56,-6.936525611152519,0,0.02296862785149842,-0.0005498105097278361,-2.1393189987918633
57,-14.00736377198792,6,0.026514449576118707,0.00018294295481103935,-2.2000868858774933
58,-4.745458677766532,0,0.015713439330352734,0.0019039528319898943,-1.914655715813444
59,-7.848007787920955,2,0.023206380110797533,-0.0001534642513087463,-1.9130711779463574
60,-6.6374171882204145,0,0.021978202610001402,-0.0027919586520450844,-1.7694623582595528
61,-34.89158152064468,2,0.10891252159153864,0.8003295936618257,-1.8368149341376259
62,-6.035334105979393,0,0.02011778035326459,0.0005256403503008187,-2.086774822434488
63,-5.813152409898878,0,0.019248849039400263,-0.0014605937197200017,-1.800937705969327
64,-22.991162229886623,12,0.03639457692015441,0.1315912350989101,-1.8324262491748082
65,-32.93724048248023,22,0.03621602808768283,0.0771429644899122,-1.584945524542204
66,-14.811379235362745,8,0.02255423587868472,0.00047410966012016286,-2.046779602307854
67,-31.852025929882927,22,0.03444764311147908,0.0012584159588294717,-1.729621880371905
68,-38.786209393102524,10,0.0953185741493457,0.6365188052387452,-2.3300504912259923
69,-15.699737287276141,6,0.03211833538833146,0.001013584413244975,-2.11458215351272
70,-7.250957344197366,2,0.01738727597416349,-0.0007792296178719115,-1.9654419072089557
71,-19.656739436314663,12,0.027151558284803454,1.498515105059912e-05,-1.4908733550492173
72,-12.467984869949845,6,0.021417168443542675,-0.001234711880606001,-2.1105548704152506
73,-13.843605306892208,4,0.03259471955924572,0.008289884394019323,-1.9216018027869601
74,-9.642111467403826,2,0.025305004858953026,0.0012064481847950362,-1.7007274818985216
75,-10.512296667482588,4,0.02156389624994236,-0.00032025218982903274,-1.75374538476767
76,-8.20964447026628,0,0.02718425321280224,-0.0017466237176431726,-1.8714100191867695
77,-6.3395734406435285,0,0.020991965035243507,0.000718014404664914,-2.0469414009174507
78,-6.1742223711839594,0,0.02044444493769531,-0.0019451047540935287,-1.7634577405862957
79,-17.82899882916653,6,0.039168870295253254,0.08111706627787257,-1.3525707228343613
80,-30.23147930401221,6,0.08023668643712646,0.4984024644040253,-2.287815985707154
81,-25.54804342295417,16,0.04224797974758472,-0.0005448879064699487,-1.3684558452106497
82,-17.277091607247762,8,0.03071884638161522,0.00017153792675362518,-1.7264549784698455
83,-11.237969953030355,2,0.030589304480232983,-0.08089659200123178,-1.0736058065052134
84,-17.305509827141638,10,0.024190429891197303,-0.0005158587898565642,-1.6948626296835279
85,-5.576833014275099,0,0.018466334484354648,0.00042755793023003353,-1.9099114842209441
86,-5.2832508033645516,0,0.017494207958160774,-0.0010819318888952573,-1.9697574503875155
87,-20.154291376916248,14,0.02037844826793437,-0.0017804518758337822,-1.6177495404183617
88,-25.999676079226614,12,0.046356543308697276,-0.10103696899531742,-1.9145555491997115
89,-18.21713487293733,10,0.027209055870653535,-0.002512412595667488,-1.9015969923261433
90,-24.356818252077183,2,0.07402919951018934,0.44902612502325867,-1.8926603208309878
91,-10.67899218068147,6,0.01856742928841853,0.0007107209550985505,-1.469760266927603
92,-23.47662943426219,0,0.07773718355715944,0.5260762172530633,-2.083879723999378
93,-29.15595595475273,12,0.05680780117467798,0.29566860465789274,-2.6242145433413757
94,-5.9607966163826465,0,0.019737737140339853,-0.0004426809149603082,-2.048277671950301
95,-6.499377113062342,0,0.02372035442723482,0.0010723030599544545,-1.8076344399842992
96,-6.244390308511984,0,0.020676789101033103,-0.002029653990237252,-2.2824327373800073
97,-10.817959538635861,4,0.022576024962370374,0.0020504554968777526,-1.9432794412376748
98,-9.14742779787572,2,0.02366697946316457,-0.0003874812296758227,-1.9125033792291015
99,-22.39817849652705,2,0.06985677567303783,0.5343543907428122,-1.9327844749217273
100,-22.27677100397747,14,0.031833734630682585,0.0004968556047130662,-1.7220402311669807
101,-4.926377078425181,0,0.016312506882202597,-0.0005478831004221855,-1.5321390450544292
102,-14.444393158894504,8,0.021339050195015016,0.0006537717500306814,-2.1206703338465216
103,-18.79556977559554,10,0.029124403230448632,0.002043690019062048,-1.7700854782658069
104,-11.347619072287376,4,0.02804434760415032,0.00032841217426853324,-1.7222114434905655
105,-27.662272067948727,16,0.03861679492698264,0.09945877383918723,-1.7823120890586908
106,-15.427312570953404,8,0.028133759738459805,0.0026087168849313236,-1.7123567229860892
107,-44.56405922684557,14,0.10120549412862762,0.7203530065852545,-1.9568794667305245
108,-25.734924377953107,6,0.0671255931222893,0.3649973416741744,-1.961528120946367
109,-10.047582680921222,4,0.020025108214970902,0.0022495781661655803,-2.005244737836557
110,-23.67364154718978,14,0.03203192565294672,0.00016837363001822635,-1.8223797166226616
111,-7.109668224081985,2,0.018924697126229597,0.0004227378693650718,-1.7033643385878317
112,-26.845576863588096,12,0.049485256211960274,0.17704682773681513,-1.3194174171434716
113,-8.014857331535714,2,0.01991674613091301,0.0021550015557174947,-2.1844725747560365
114,-18.515746877535232,10,0.028197837342832096,-0.0005537251786125318,-1.7533730337040851
115,-12.43331547307992,2,0.03573053244205449,0.00021773020311080123,-2.023216939671603
116,-19.48836321435865,10,0.031418421239598295,0.012210944923071117,-1.4518858732199236
117,-13.10117636985329,6,0.02351382903924915,0.0018644540683236837,-1.9290123830354367
118,-13.341413149544366,4,0.03093183162100792,-0.0025951835188848145,-1.3465711311803397
119,-20.900206614473866,12,0.029470882829383184,-0.0003317896137939186,-1.9975950715443527
120,-13.810559520134653,8,0.019240263311704205,-0.0001764191249817215,-1.4486900373231326
121,-13.250009756974128,6,0.0246598971325651,-7.93848107537242e-05,-1.632111681796821
122,-7.385870880046388,2,0.017834009536577492,-0.0019842835793900766,-1.9890377275028024
123,-19.132226053443357,12,0.026221419314130003,-0.0002696967854717514,-1.9634046256353888
124,-5.016558235526856,0,0.019750229273727788,0.000914997891082949,-2.2749266664582346
125,-7.84891119239573,2,0.019367255603959403,0.0007690532831475139,-1.7754780275426267
126,-15.536383619145775,10,0.01949430851811893,0.0012506884014443823,-1.6316327395776786
127,-9.487144799855034,4,0.01816935364190418,-0.00020647340389400327,-1.9095134841645174
128,-13.086956649455535,6,0.023466743872369203,0.000812429168172156,-1.5805162406582016
129,-6.959967839957145,0,0.02304625112568589,-0.000935781482816828,-2.025198171865457
130,-41.42343619279988,22,0.06431601388344328,0.408361550971144,-1.8598966907910288
131,-9.965295356473959,4,0.01975263363070845,0.000610459486056514,-1.7013966134799465
132,-12.126764144556601,2,0.03750653386872825,-0.0024114447356529396,-1.8019824694329873
133,-14.46228384632918,0,0.04788835710705026,0.2962461773099128,-2.2523346084547526
134,-8.712124755225853,4,0.01915497867978002,-0.0005735050849957255,-1.6168168334246849
135,-23.19102550383261,10,0.04367889239679666,0.1394517220845076,-2.0100045631547143
136,-64.86460554953324,4,0.20153842897196458,1.6381565290347468,-2.047549935750199
137,-12.749301180427839,6,0.022348679405390287,0.0007944576047508922,-1.646467822168673
138,-19.13333024194458,4,0.06102149291106689,0.40148691116440705,-1.5577721216683014
139,-9.93943213995998,4,0.01966699384092719,-0.0008787710349143341,-2.106964298823096
140,-12.585858224523008,0,0.04167502723351989,0.1419109295086861,-1.703514916514546
141,-21.646653181950207,4,0.058432626430298805,0.4083345649807116,-2.2722553299496333
142,-4.850844334507689,0,0.020211851393782017,0.002797158721853824,-1.7786981733361609
143,-9.271033281204604,4,0.01937879882795801,0.0017742595072965796,-1.7638521734849373
144,-24.775030866337598,16,0.029056393597144514,-0.0034084091138785444,-2.054579628216425
