timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
84938,289,3,3,True
85238,290,1,1,True
85538,291,1,1,True
85838,292,3,3,True
86138,293,4,4,True
86438,294,2,2,True
86738,295,3,3,True
87038,296,4,4,True
87338,297,2,2,True
87638,298,2,2,True
87938,299,4,4,True
88238,300,2,2,True
88538,301,1,1,True
88838,302,1,1,True
89138,303,1,1,True
89438,304,1,1,True
89738,305,4,4,True
90038,306,1,1,True
90338,307,1,1,True
90638,308,0,0,True
90938,309,3,3,True
91238,310,1,1,True
91538,311,4,4,True
91838,312,4,4,True
92138,313,0,0,True
92438,314,1,1,True
92738,315,3,3,True
93038,316,2,2,True
93338,317,4,4,True
93638,318,1,1,True
93938,319,0,0,True
94238,320,1,1,True
94538,321,1,1,True
94838,322,2,2,True
95023,323,5,5,False
95272,324,5,5,False
95572,325,3,3,True
95872,326,2,2,True
96172,327,3,3,True
96472,328,5,5,False
96772,329,2,2,True
97072,330,1,1,True
97372,331,1,1,True
97672,332,2,2,True
97972,333,2,2,True
98272,334,1,1,True
98572,335,2,2,True
98872,336,4,4,True
99131,337,5,5,False
99431,338,4,4,True
99731,339,3,3,True
99915,340,5,5,False
100215,341,2,2,True
100515,342,1,1,True
100743,343,5,5,False
101003,344,5,5,False
101161,345,5,5,False
101461,346,4,4,True
101761,347,1,1,True
102061,348,1,1,True
102361,349,2,2,True
102661,350,0,0,True
102961,351,2,2,True
103261,352,0,0,True
103561,353,3,3,True
103861,354,3,3,True
104161,355,3,3,True
104461,356,1,1,True
104761,357,3,3,True
105061,358,2,2,True
105361,359,2,2,True
105661,360,0,0,True
105961,361,0,0,True
106261,362,4,4,True
106454,363,5,5,False
106754,364,2,2,True
107054,365,2,2,True
107354,366,0,0,True
107654,367,2,2,True
107954,368,3,3,True
108254,369,2,2,True
108554,370,3,3,True
108854,371,1,1,True
109154,372,3,3,True
109454,373,1,1,True
109754,374,3,3,True
110038,375,5,5,False
110338,376,0,0,True
110638,377,2,2,True
110938,378,2,2,True
111238,379,4,4,True
111538,380,3,3,True
111838,381,2,2,True
112138,382,2,2,True
112438,383,3,3,True
112738,384,3,3,True
113038,385,2,2,True
113338,386,1,1,True
113638,387,2,2,True
113938,388,3,3,True
114238,389,2,2,True
114538,390,1,1,True
114838,391,2,2,True
115138,392,2,2,True
115438,393,4,4,True
115738,394,4,4,True
