timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
10500,30,-119.95244393778889,[0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.742177770539841,1,0.005714971565554786,-0.13910801042199186,True
10850,31,-99.40732157781783,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 1. 1.],1.4201045939688257,7,0.006391641336027342,-0.11921839505785671,True
11200,32,-109.47371583054417,[0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0.],1.478195940436345,13,0.007027358040672825,-0.1099094912989336,True
11550,33,-92.39830161401507,[0. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0.],1.3342614516287867,10,0.00791735522719324,-0.08671638119731677,True
11900,34,-102.97604877218345,[0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.],1.4853721253169063,6,0.008521235260073345,-0.04916860206232397,True
12250,35,-94.78783017281216,[1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1. 0. 0. 0.],1.4112547167544596,5,0.008385502295038132,-0.10492877809801925,True
12600,36,-106.8003508952282,[0. 0. 1. 0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1.],1.2542907270746886,30,0.007737424208466465,-0.18304221110159485,True
12950,37,-88.9914897352543,[1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1.],1.3141641390750616,5,0.007253216422599685,-0.1440269307321107,True
13300,38,-94.83758593000182,[0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 1. 0. 1. 0. 0. 0.],1.41196551328574,3,0.006661501975374533,-0.095539425104588,True
13650,39,-106.55950855937303,[1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0.],1.479421550848186,9,0.0063940749067364746,-0.041670932005133346,True
14000,40,-101.38282585441911,[0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1.],1.4483260836345586,6,0.006422016646548226,0.025290731272995085,True
14350,41,-112.64300807118745,[0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1.],1.523471543874106,12,0.005768116272643441,-0.023788830548172175,True
14700,42,-109.70351417952706,[0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0.],1.5957644882789583,4,0.007004666361217975,-0.038813802826526585,True
15050,43,-105.62338905316915,[0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.537476986473845,4,0.005908141873153315,0.008032889576488591,True
15400,44,-88.31627860509205,[1. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 0. 1. 0.],1.2473754086441722,11,0.006127383968606759,0.05814139389802074,True
15750,45,-133.13590826772506,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.8447986895389294,6,0.005778720485166116,0.04442577880189498,True
16100,46,-100.90513455786207,[0. 1. 1. 1. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.5129304936837438,2,0.005410632513644138,-0.01068285159772261,True
16450,47,-100.67609974072222,[0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0.],1.4382299962960317,7,0.005514016340156795,-0.0468961111712604,True
16800,48,-104.32707569477911,[0. 1. 1. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.3618153670682733,16,0.005099050654848039,-0.08948016936896135,True
17150,49,-90.19632684054244,[1. 1. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1.],1.3313760977220346,7,0.0039795433887110975,-0.04422468444310573,True
17500,50,-106.47280388369278,[1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 1. 1. 0.],1.506754341195611,9,0.003250665511697679,-0.020253709966421438,True
17850,51,-89.07866442147575,[1. 1. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0.],1.1868380631639392,16,0.0028920409829218965,-0.0685506330180572,True
