timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
10500,30,-132.0102862721463,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.8358612324592332,2,-0.0038411144515807143,-0.5372296411509991,True
10850,31,-137.19756450841385,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7956794929773412,6,-0.0034622620117624207,-0.4920972194868378,True
11200,32,-133.75855845655968,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.853693692236567,2,-0.0034405461172900688,-0.5515790182543632,True
11550,33,-130.3730271398397,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.8410432448548526,1,-0.0029747390193552623,-0.5240217551832426,True
11900,34,-135.56300121372055,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.772328588767436,6,-0.0029988572955020375,-0.47014289922051583,True
12250,35,-128.13840798285204,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8019772568978865,1,-0.002816202542149136,-0.46328537237174733,True
12600,36,-122.36106632831269,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.74801523326161,0,-0.0028118148450734484,-0.40186556955200753,True
12950,37,-118.47264206281012,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6710377437544306,1,-0.0026567352790790354,-0.4067720511182064,True
13300,38,-127.89916269752489,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8057023242503556,1,-0.002231549377087011,-0.33557225268875085,True
13650,39,-121.16743273450788,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.709534753350113,1,-0.0023796447100114713,-0.29398097140320506,True
14000,40,-127.3654511866187,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7909350169516955,1,-0.002447560993389873,-0.26675585589118,True
14350,41,-126.78654535081074,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6969506478687248,4,-0.002359005560592587,-0.23307508698754656,True
14700,42,-127.63704258824778,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7948148941178255,1,-0.0019189747621183625,-0.25467397468580333,True
15050,43,-123.9415627877447,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7205937541106384,2,-0.0017071827436186528,-0.2616266281042129,True
15400,44,-135.37289318346737,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.9053270454781053,1,-0.0014412620264908594,-0.22677844646558779,True
15750,45,-121.79584987429492,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.7185121410613555,1,-0.001246050792393997,-0.21700547475309576,True
16100,46,-123.2304337555432,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.7175776250791888,2,-0.0012058316917842964,-0.1775153286857129,True
16450,47,-126.61251714799621,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8087502449713746,0,-0.0010902969246063827,-0.14853701109964842,True
16800,48,-128.68063414867729,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.809723344981104,1,-0.0012175192102055613,-0.16663947573550622,True
17150,49,-136.57904190563877,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8654148843662681,3,-0.0017157087655952754,-0.10537037203142198,True
17500,50,-114.12740443554533,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.637534349079219,0,-0.0012341714827466474,-0.0846416223522891,True
17850,51,-134.79590996006186,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.9256558565723123,0,-0.001297274915437194,-0.027788372996714193,True
18200,52,-119.60172343385432,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.7157389061979185,0,-0.000930717121327389,-0.024651844607681165,True
18550,53,-131.3820515537245,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8197435936246356,2,-0.001594771928357855,-0.02842803989596523,True
18900,54,-129.20123637583825,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8171605196548324,1,-0.0014231065607895116,-0.02545946199146177,True
19250,55,-129.35420103345947,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7336314433351356,4,-0.0016736720319527017,-0.025240726567791208,True
19600,56,-120.45909824193501,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7208442605990715,0,-0.0015555551536118048,-0.020502384017052056,True
19950,57,-124.4549979395374,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6707856848505347,4,-0.0017637771870944936,-0.025159823040182955,True
20300,58,-134.26757762537426,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8323939660767747,3,-0.0016364628780520165,-0.01279984037498651,True
20650,59,-121.93888886751616,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7134126981073736,1,-0.0014561389390936672,-0.02173928071085288,True
21000,60,-125.06600782101559,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7295143974430804,2,-0.0011942920651994687,0.005399186607371251,True
21350,61,-130.56533579497597,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7223619399282284,5,-0.001204910451890752,0.002710935393880248,True
21700,62,-110.82310355935488,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.5689014794193556,1,-0.001117226734997597,0.044709136572762764,True
22050,63,-128.96083114100696,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8137261591572422,1,-0.0011018898242384936,0.05587621972301015,True
22400,64,-125.70179310220425,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7385970443172034,2,-0.0007602724329079332,0.06740692647942004,True
22750,65,-135.9127331176165,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.7773247588230927,6,-0.0005832703675546077,0.07613630495217737,True
23100,66,-124.28089992370025,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.754012856052861,1,-0.0006218661073300405,0.08398404493544315,True
23450,67,-114.28704907801344,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1.],1.6469578439716202,0,-0.00044241777223296964,0.09342822284250434,True
23800,68,-118.34380261513249,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6977686087876067,0,-0.0005128069708299343,0.08556965507063481,True
24150,69,-114.72781652656505,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.6532545218080716,0,-0.000464792439926508,0.06873439810224678,True
24500,70,-137.6167266109363,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.7730960944419467,7,-0.0004149201992607844,0.07979700159965135,True
24850,71,-117.47116397784642,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6781594853978057,0,-0.0006796551714471803,0.07486464409223806,True
25200,72,-127.46632057288701,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.7995188653269576,1,-0.0007634431748482754,0.0673627795273725,True
25550,73,-120.12719977436272,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.644674282490896,3,-0.0008062339669974635,0.060092476332099305,True
25900,74,-130.87671412672512,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6982387732389306,6,-0.0005257656271250019,0.07009902064413534,True
26250,75,-126.67435115185475,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7524907307407818,2,-0.0005817910862092893,0.10166166628004118,True
26600,76,-114.33672060999525,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.583381722999932,2,-0.0006881034472297001,0.07330374079737291,True
26950,77,-127.66344873259465,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.795192124751352,1,-0.0003874094509672715,0.08580506521399485,True
27300,78,-121.18972651358995,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6741389501941424,2,-0.0005625196939626964,0.06090575464018352,True
27650,79,-130.4602804858159,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7494325783687985,4,-0.0005907066951008337,0.035836615099763845,True
28000,80,-130.15790519692644,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7165415028132347,5,-0.0003173181549265272,0.02095829054485096,True
28350,81,-135.66262268613704,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7951803240876718,5,-0.000557919111215308,-0.006905241305006683,True
