timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
10500,30,-116.94595505198595,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.6849422150283708,1,-0.0020908471274333506,0.6567147072912559,True
10850,31,-120.40649974855405,[0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.734378567836486,2,-0.0011154548596635553,0.6609125743858432,True
11200,32,-122.94004199918464,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0.],1.7991434571312097,1,-0.0011642595579541843,0.7334760293408316,True
11550,33,-132.45925944024165,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.892275134860595,1,-0.0016131751361308827,0.7214867812643982,True
11900,34,-107.35326969367682,[0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5621895670525257,0,-0.0013280820257486061,0.6560799945844464,True
12250,35,-134.15323759134904,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.773617679876415,11,-0.0014106769974827908,0.6311545379469484,True
12600,36,-126.17402162069462,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7310574517242086,6,-0.0013626567037297284,0.6809609552736455,True
12950,37,-121.12275456313384,[1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7303250651876256,2,-0.0016349228433626174,0.6523056171383308,True
13300,38,-120.25907869425522,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.746558267060789,0,-0.001585521278924749,0.6569098847738013,True
13650,39,-121.64389054700716,[0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6949127221001026,5,-0.002042560707253209,0.6215648025091876,True
14000,40,-117.31450930145625,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.6902072757350892,1,-0.0021498106802755293,0.6402148511615091,True
14350,41,-133.86723502921637,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8838176432745188,2,-0.002713531892221784,0.6362129256319204,True
14700,42,-117.45704539901398,[0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7065292199859143,1,-0.0021655916275185507,0.606622143072834,True
15050,43,-122.90628767474824,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0.],1.7558041096392607,3,-0.0022168793719442694,0.5985464794624796,True
15400,44,-123.58849341333327,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7798356201904755,1,-0.0023254886230449122,0.6181854922888451,True
15750,45,-113.39101592786957,[0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6341573703981365,1,-0.002090931072080903,0.6221515768040659,True
16100,46,-126.65343442213724,[0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0.],1.7521919203162462,8,-0.0016098645680781955,0.6243878013629456,True
16450,47,-120.32516743747033,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.7189309633924332,2,-0.0013032818492395644,0.6266020457553387,True
16800,48,-124.92691550714349,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.7418130786734787,5,-0.0015156875993852562,0.6253815752438947,True
17150,49,-119.90362451274372,[0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7129089216106241,2,-0.0015336829588616656,0.5898674131250341,True
17500,50,-125.9944838647905,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7713497694970073,3,-0.0015349659544714959,0.5901024249224078,True
17850,51,-129.14182624015592,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8591689462879417,0,-0.0012905499288656897,0.5920722064712229,True
18200,52,-133.3810351247641,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8911576446394873,1,-0.0012648394032142088,0.6147807071360352,True
18550,53,-127.34067649376911,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],1.8191525213395587,2,-0.0017028099908637645,0.6078615507534021,True
18900,54,-120.99222298443894,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0.],1.7284603283491278,2,-0.0014661805694041836,0.6462698333424955,True
19250,55,-125.43271036601271,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7918958623716101,1,-0.0012225753238890168,0.6587854313488838,True
19600,56,-127.42589111056694,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.8489413015795277,0,-0.0011053021487510111,0.6703686834851176,True
19950,57,-125.84146590869663,[0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.812020941552809,1,-0.0012096995846945927,0.6988916288516361,True
20300,58,-130.16325275530335,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8594750393614763,1,-0.0009196749006270568,0.6968089510678741,True
20650,59,-134.9513225081012,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8421617501157312,7,-0.0007021037927241156,0.7544716107161883,True
21000,60,-118.9663234170851,[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6995189059583584,3,-0.0005859395435573173,0.8043831497737989,True
21350,61,-125.08960063349986,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.8012800090499976,1,-0.0007102392023822824,0.8284268286686671,True
21700,62,-120.07637869857204,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.],1.729662552836743,1,-0.000915835610977661,0.8379908668028673,True
22050,63,-128.578381257413,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.8225483036773287,2,-0.0008117767100411287,0.8589272204192124,True
22400,64,-127.71055916577109,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8244365595110152,0,-0.000915937041835202,0.8852374647699373,True
22750,65,-128.30554276026686,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.832936325146669,1,-0.0008498247127984983,0.9149145887076799,True
23100,66,-140.41025919602316,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],2.0058608456574736,0,-0.0010089070030343814,0.8946572028476513,True
23450,67,-123.51578183551891,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7787968833645555,1,-0.0009022288103582837,0.9283425798315048,True
23800,68,-137.7439289365749,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8963418419510698,5,-0.0007553427277975045,0.9480268383622742,True
24150,69,-126.9548996495732,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.],1.8279271378510458,1,-0.0007265455554712705,0.9769680030679675,True
24500,70,-124.87082108170398,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7981545868814854,0,-0.0009287165944412118,1.0026574438647904,True
24850,71,-121.19206982021905,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.7598867117174148,0,-0.0008170287817518786,1.0275868743258052,True
25200,72,-133.50931576707262,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8501330823867517,5,-0.0007903648179420708,1.038051607840172,True
25550,73,-137.23385360100548,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.9176264800143636,3,-0.0010690672867434668,1.0653044519436636,True
25900,74,-125.96932017833865,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.8138474311191237,1,-0.0013242023297011,1.0661111255486566,True
26250,75,-139.28288441966785,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.9468983488523979,3,-0.0012830010868010134,1.0879893950469672,True
26600,76,-132.1455534130283,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8306507630432618,5,-0.0013100732330524226,1.1100621796994794,True
26950,77,-138.41412480865705,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.9630589258379578,1,-0.0012165120907291034,1.1154336890690466,True
27300,78,-127.12159380543558,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.8303084829347942,2,-0.0011152600575918088,1.1371701865642125,True
27650,79,-141.86178205667707,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.9408826008096725,7,-0.0008962955089832364,1.150924850837712,True
28000,80,-127.00586530035585,[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.8429409328622268,1,-0.000986650885725134,1.161714525698174,True
28350,81,-128.59744306478146,[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7942491866397352,5,-0.0010174081538704399,1.1906422689863463,True
28700,82,-125.30664373518466,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7758091962169242,1,-0.001027194931302031,1.2204353746238545,True
29050,83,-127.45119207439566,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.8207313153485094,2,-0.0009201720095116853,1.2292415453897756,True
29400,84,-133.35986414310835,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.905140916330119,1,-0.000885012180706378,1.2488906921239995,True
29750,85,-142.6033816798633,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.951476881140904,6,-0.0008760648625022281,1.276616593285414,True
30100,86,-125.05757997315095,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7865368567592992,0,-0.0007789811442247913,1.2844131005480102,True
30450,87,-128.96659852735846,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.8423799789622637,1,-0.0010247033198072658,1.3009434096690329,True
30800,88,-120.36810742157344,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1.],1.7052586774510492,4,-0.0011165096567034198,1.3082945834038762,True
31150,89,-132.3931925719529,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.79133132245647,7,-0.0011021395862183887,1.332064277777172,True
31500,90,-129.57566783627536,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.8367952548039341,2,-0.0009429866108426081,1.3382478055420808,True
31850,91,-120.94568504658072,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.7277955006654384,2,-0.0007561631722750674,1.3562473077242994,True
32200,92,-124.2348255473238,[0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],1.7747832221046256,4,-0.000661458558157462,1.3771860544232162,True
32550,93,-132.48508628602647,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.86407266122895,3,-0.0003398472290237798,1.3502263798065868,True
32900,94,-131.45091104768824,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8778701578241173,1,-0.0002690613464368022,1.3715293824914068,True
33250,95,-128.24879780073132,[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8178399685818762,3,-0.00037877477513086153,1.3966077634415641,True
33600,96,-140.75041903920476,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.939291700560068,5,-0.00030461692914588985,1.3846041607064201,True
33950,97,-132.92286353103492,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.91318376472907,0,-0.00030871801636049237,1.3961191225487686,True
34300,98,-127.93718919068576,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8133884170097965,2,-0.00041713890587840924,1.4068207134802955,True
34650,99,-131.89750624872968,[0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8842500892675669,2,-0.0005158074971904537,1.4309955746766687,True
35000,100,-131.0111696562927,[0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.857302423661324,3,-0.0005358061407110571,1.442271761687011,True
35350,101,-131.0359937823223,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8576570540331756,1,-0.0006411994038735166,1.4452181868680007,True
35700,102,-120.55579783429657,[0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.7507971119185224,1,-0.0006210632809892304,1.4644354768090269,True
36050,103,-127.70619252240695,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7958027503200988,3,-0.0004546337215964125,1.4703066859320082,True
36400,104,-130.0894363846686,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.829849091209552,2,-0.0005543057018571714,1.477565637702999,True
36750,105,-130.70186653893572,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.8385980934133674,3,-0.0006873910212018099,1.4966903578559119,True
37100,106,-135.105949073681,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8872278439097283,4,-0.0007765293992742582,1.520482055418451,True
37450,107,-126.53717087347675,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7791024410496676,4,-0.0006741292533779859,1.524996552676357,True
37800,108,-124.56832539419881,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7509760770599836,3,-0.00041478080762008654,1.5384348768615894,True
38150,109,-128.03558588843464,[0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7433655126919243,9,-0.0003230564258971235,1.5630337567321952,True
38500,110,-132.0032897046705,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8857612814952924,0,-8.745267250205468e-05,1.5706842754000547,True
38850,111,-132.9161598856529,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.8845165697950408,2,-1.4856343010452147e-05,1.5801972046027664,True
39200,112,-137.3110859121899,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.9187297987455691,3,5.223664931914495e-05,1.583205682831186,True
39550,113,-132.7278591898396,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.824683702711994,6,0.00023707337085689378,1.5798079429449277,True
39900,114,-118.48671571068913,[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],1.7355245101527015,2,0.00012497108907440712,1.5812259466962153,True
40250,115,-119.88051701362095,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.712578814480299,1,2.660637836389227e-05,1.5756364144017576,True
40600,116,-131.19292309063349,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8456131870090497,3,0.00011640088129623047,1.5874447561922667,True
40950,117,-125.63671061171222,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.7948101515958883,1,2.6213770909401197e-05,1.584871086810568,True
