timesteps,episodes,total_reward,total_intrusions,final_altitude,TimeLimit.truncated
3881,123,-446.01373693333346,0,11060.0,False
3912,124,-477.5764807533334,0,11060.0,False
3951,125,-229.911528435,1,-100,False
3966,126,-175.65248064666667,1,-100,False
4006,127,-65.00263312333333,0,3413.33776,False
4021,128,-144.30093948333334,0,-100,False
4027,129,-107.55372378333334,0,-100,False
4037,130,-133.12687566,0,-100,False
4044,131,-108.56949178333333,0,-100,False
4053,132,-125.27918424333333,0,-100,False
4068,133,-127.82797091666667,0,-100,False
4105,134,-348.41662949,4,-100,False
4121,135,-138.273909815,0,-100,False
4150,136,-273.48285061666667,2,-100,False
4184,137,-275.3569059166666,3,-100,False
4213,138,-212.20262017166664,1,-100,False
4249,139,-229.8672294016667,2,-100,False
4285,140,-300.35890857833334,3,-100,False
4319,141,-230.90831258166665,2,-100,False
4347,142,-171.16626902500002,1,-100,False
4377,143,-148.632790905,0,-100,False
4409,144,-399.8435833583333,5,-100,False
4445,145,-245.8383898216667,1,-100,False
4467,146,-174.28449012,1,-100,False
4505,147,-296.6154278583333,3,-100,False
4524,148,-145.72056875833334,0,-100,False
4565,149,-310.41850116333336,5,716.809403,False
4592,150,-223.176900765,1,-100,False
4633,151,-68.47952142333335,0,809.170177,False
4657,152,-209.95840676833333,1,-100,False
4688,153,-135.238075775,0,-100,False
4731,154,-90.93697531,0,374.373567,False
4769,155,-217.00790553333331,1,-100,False
4810,156,-132.45646137666668,1,653.43259,False
4829,157,-142.900503305,0,-100,False
4866,158,-335.5525209033334,3,-100,False
4900,159,-298.7494707766666,3,-100,False
4935,160,-384.618642305,4,-100,False
4968,161,-134.10299697666667,0,-100,False
5008,162,-121.18942366333332,1,1114.053011,False
5050,163,-227.12781437333334,2,393.501206,False
5091,164,-119.18696380666665,0,1127.778499,False
5132,165,-151.04821353999998,1,592.284392,False
5173,166,-258.06735923,4,907.18743,False
5215,167,-306.9939185933334,4,100.133275,False
5256,168,-146.17131764166672,0,1373.998458,False
5297,169,-230.6963990366666,3,1118.776805,False
5338,170,-220.1869744533334,3,914.608129,False
5379,171,-65.85839205500001,0,553.937931,False
5421,172,-214.26953485666667,2,611.179996,False
5463,173,-223.52954949166664,3,127.909793,False
5503,174,-106.33632491,0,1049.624607,False
5545,175,-79.01299060666666,0,189.370329,False
5586,176,-72.76440999166667,0,1880.119443,False
5627,177,-280.58166162333333,4,1446.170369,False
5668,178,-98.27147020166667,1,492.486296,False
5709,179,-65.81184207833334,0,690.443404,False
5750,180,-209.0960742166667,2,1143.649656,False
5791,181,-53.404072151666654,0,1371.899659,False
5831,182,-110.07635556833335,0,2078.891329,False
5872,183,-221.56430752666668,3,1383.604688,False
5906,184,-205.813560805,1,-100,False
5945,185,-221.84301283166667,1,-100,False
5985,186,-222.9076276083334,3,2262.599789,False
