episode,tot_reward,tot_intrusions,tot_drift
0,-68.20664873656874,40,0.09339949912771121
1,-14.177146258627504,6,0.027076643240488314
2,-39.6596225648301,30,0.03354035612788259
3,-76.39187285210954,72,0.02287433777140334
4,-23.1719059974062,12,0.04168621640823192
5,-47.17308078086957,38,0.030374439671753312
6,-10.386238116043355,2,0.027954127053477766
7,-16.185333929362073,6,0.03372627128927846
8,-18.261631611795448,12,0.028205547800880453
9,-54.518466247911334,14,0.13416710678116342
10,-22.510808727826,10,0.041426518966311145
11,-49.274107429004474,36,0.043953998109286074
12,-15.070884498220106,6,0.030036041384834806
13,-22.77820176742475,14,0.04876778759680406
14,-241.3210022774197,232,0.03669685935992042
15,-14.240295665568013,6,0.02728574723698015
16,-66.30682326588807,24,0.14196920559022772
17,-154.99282143345366,134,0.06951265375315709
18,-113.58065596203738,18,0.31649223828489165
19,-30.80245883858878,14,0.055637280922479306
20,-30.667235596708736,20,0.03532197217453229
21,-26.999108048448452,18,0.04017458950200215
22,-11.64451355359062,2,0.05130060400846086
23,-46.68102684048669,6,0.1347053868890287
24,-22.509772752571344,12,0.04237811593778791
25,-12.737345764209115,4,0.034130256891441814
26,-21.058820370349547,10,0.036862734567831866
27,-35.29264819437873,8,0.09220489254857661
28,-45.333574384066615,34,0.039352688833564714
29,-52.583078202888885,44,0.03226721128905597
30,-23.929920778887617,8,0.0527480820492966
31,-13.498288156288032,6,0.030730689165114865
32,-73.35561655381733,10,0.20978680978085187
33,-265.16380787270015,110,0.5137874432870847
34,-13.89972087993318,4,0.03278053271501054
35,-38.19816433250771,28,0.043581898856869715
36,-31.75683755226449,22,0.03230740911345839
37,-25.515704214418857,2,0.07786657024642009
38,-13.885273052413979,6,0.026110175670244935
39,-27.17535876591058,4,0.07673959856261785
40,-136.3999501528174,112,0.08079453692985893
41,-269.6055961874,222,0.15763442446158984
42,-52.16451510202803,16,0.16742831065753772
43,-14.12807821252312,4,0.033536682822924296
44,-44.96232325271054,22,0.07603418295599534
45,-8.93845206533656,0,0.02959752339515418
46,-20.920718658982096,10,0.03616132006285439
47,-8.529481988317166,0,0.028243317842109823
48,-39.83554092173622,32,0.0425844615311758
49,-308.9505917148608,280,0.10489344824224746
50,-25.78445537151337,6,0.06551144162752763
51,-37.52762844009557,28,0.0315484385433632
52,-77.23085293877135,68,0.03496535204079953
53,-12.823517798808341,6,0.02604396106415399
54,-141.13237676391543,44,0.32163038663548205
55,-26.751831469723566,18,0.028979574403058282
56,-23.549806728889617,0,0.07797949247976707
57,-87.36192225734575,76,0.03945111894911781
58,-33.012494813137536,14,0.0709421448251404
59,-19.118547109730716,8,0.036816381158048785
60,-70.16080390345883,62,0.03676037794350879
61,-81.21084284398218,0,0.2689100756423253
62,-198.9336733008627,190,0.029581699671729883
63,-29.162912213575826,20,0.034189970946178004
64,-15.75552202005358,8,0.025680536490243586
65,-34.46951159472583,10,0.08102487283021778
66,-9.009706460285766,0,0.029833465100283986
67,-18.264864495246467,14,0.032309579509443194
68,-102.07929212327478,14,0.2916532851764073
69,-35.046145058545825,6,0.11526248039105486
70,-13.392705777877335,2,0.03772419131747474
71,-51.445689986294276,44,0.02465460260362319
72,-10.788436864589759,2,0.03487474946265784
73,-41.05348426144353,34,0.02671774341455913
74,-8.785756945400676,0,0.02909191041523411
75,-8.769175863797853,0,0.0337275994761456
76,-95.12208018757981,84,0.0368280800913239
77,-97.31153312458632,82,0.05070044080988931
78,-27.897226323198883,18,0.03277227259337374
79,-31.0992694430022,20,0.0549468784307042
80,-53.075329183757646,36,0.05654082511178034
81,-36.28163469769292,28,0.027422631449313662
82,-21.92780151906259,12,0.04279224792699406
83,-38.00971940274535,28,0.033144766234256114
84,-30.45307424761201,18,0.06353609310006136
